gene,panel,module,naba_gene_set,role_in_extension
COL1A1,ECM_CORE_19,Interstitial_collagen,NABA_COLLAGENS,core_structural_ECM
COL1A2,ECM_CORE_19,Interstitial_collagen,NABA_COLLAGENS,core_structural_ECM
COL4A1,ECM_CORE_19,Basement_membrane,NABA_COLLAGENS,core_structural_ECM
COL4A2,ECM_CORE_19,Basement_membrane,NABA_COLLAGENS,core_structural_ECM
COL4A5,ECM_CORE_19,Basement_membrane,NABA_COLLAGENS,core_structural_ECM
COL6A1,ECM_CORE_19,Interstitial_collagen,NABA_COLLAGENS,core_structural_ECM
COL6A2,ECM_CORE_19,Interstitial_collagen,NABA_COLLAGENS,core_structural_ECM
COL6A3,ECM_CORE_19,Interstitial_collagen,NABA_COLLAGENS,core_structural_ECM
FN1,ECM_CORE_19,Adhesive_matricellular,NABA_ECM_GLYCOPROTEINS,core_structural_ECM
LAMA4,ECM_CORE_19,Basement_membrane,NABA_ECM_GLYCOPROTEINS,core_structural_ECM
LAMA5,ECM_CORE_19,Basement_membrane,NABA_ECM_GLYCOPROTEINS,core_structural_ECM
LAMB1,ECM_CORE_19,Basement_membrane,NABA_ECM_GLYCOPROTEINS,core_structural_ECM
LAMB2,ECM_CORE_19,Basement_membrane,NABA_ECM_GLYCOPROTEINS,core_structural_ECM
LAMC1,ECM_CORE_19,Basement_membrane,NABA_ECM_GLYCOPROTEINS,core_structural_ECM
THBS1,ECM_CORE_19,Adhesive_matricellular,NABA_ECM_GLYCOPROTEINS,core_structural_ECM
THBS2,ECM_CORE_19,Adhesive_matricellular,NABA_ECM_GLYCOPROTEINS,core_structural_ECM
HSPG2,ECM_CORE_19,Basement_membrane,NABA_PROTEOGLYCANS,core_structural_ECM
TNC,ECM_CORE_19,Adhesive_matricellular,NABA_ECM_GLYCOPROTEINS,core_structural_ECM
TNXB,ECM_CORE_19,Adhesive_matricellular,NABA_ECM_GLYCOPROTEINS,core_structural_ECM
PTN,ECM_LIGAND_21,ECM_linked_secreted_factor,NABA_SECRETED_FACTORS,functional_scope_extension
MDK,ECM_LIGAND_21,ECM_linked_secreted_factor,NABA_SECRETED_FACTORS,functional_scope_extension
