gene,logFC,logCPM,F,PValue,FDR,selection_rule
"GPC6",7.29988086484547,4.96998966524634,666.103920320258,7.97671535664932e-21,5.54621018747828e-17,"fibroblast_vs_epithelial_FDR_lt_0.05_logFC_gt_1_excluding_ECM_LIGAND_21"
"SDC2",6.96672052931218,7.38501622153497,854.233889115183,3.98928721013631e-21,5.54621018747828e-17,"fibroblast_vs_epithelial_FDR_lt_0.05_logFC_gt_1_excluding_ECM_LIGAND_21"
"FGF7",6.13185683783123,6.06084284425035,771.863723194343,2.69533778238105e-20,1.22085535905577e-16,"fibroblast_vs_epithelial_FDR_lt_0.05_logFC_gt_1_excluding_ECM_LIGAND_21"
"PLEKHO1",4.79742690957512,4.1666881275136,602.403891277742,3.5117369741285e-20,1.22085535905577e-16,"fibroblast_vs_epithelial_FDR_lt_0.05_logFC_gt_1_excluding_ECM_LIGAND_21"
"SGCD",6.13212532425072,4.0189052680652,516.45573296959,6.71939132551978e-20,1.86879711545356e-16,"fibroblast_vs_epithelial_FDR_lt_0.05_logFC_gt_1_excluding_ECM_LIGAND_21"
"TMEM47",7.30284065649076,5.139735547415,500.534804343971,1.41310270101009e-19,2.43345728884657e-16,"fibroblast_vs_epithelial_FDR_lt_0.05_logFC_gt_1_excluding_ECM_LIGAND_21"
"NEXN",7.1560885827001,5.92584497425614,583.852204162544,1.57493999709615e-19,2.43345728884657e-16,"fibroblast_vs_epithelial_FDR_lt_0.05_logFC_gt_1_excluding_ECM_LIGAND_21"
"MCAM",6.86213024583127,5.63385238732254,474.872126345489,1.40029709079838e-19,2.43345728884657e-16,"fibroblast_vs_epithelial_FDR_lt_0.05_logFC_gt_1_excluding_ECM_LIGAND_21"
"CALD1",7.47884298297057,9.63881176048779,836.194558443571,2.33400255002472e-19,2.95060358733125e-16,"fibroblast_vs_epithelial_FDR_lt_0.05_logFC_gt_1_excluding_ECM_LIGAND_21"
"TMEM204",7.05912541232903,5.24830335877162,467.321907899353,2.17904542540582e-19,2.95060358733125e-16,"fibroblast_vs_epithelial_FDR_lt_0.05_logFC_gt_1_excluding_ECM_LIGAND_21"
"SDPR",6.78985915940431,6.20225173666917,473.000541703559,4.25505171512254e-19,4.93089576254117e-16,"fibroblast_vs_epithelial_FDR_lt_0.05_logFC_gt_1_excluding_ECM_LIGAND_21"
"FERMT2",6.57685588959956,5.70024889785972,519.223274882671,6.19608486490682e-19,6.31737130810942e-16,"fibroblast_vs_epithelial_FDR_lt_0.05_logFC_gt_1_excluding_ECM_LIGAND_21"
"FGFR1",6.42426807811308,5.88092164828229,559.386588264953,6.81436571419828e-19,6.31737130810942e-16,"fibroblast_vs_epithelial_FDR_lt_0.05_logFC_gt_1_excluding_ECM_LIGAND_21"
"TSPAN4",5.87604478075615,6.71573409245759,642.144619492798,8.30296279944512e-19,7.21631254306774e-16,"fibroblast_vs_epithelial_FDR_lt_0.05_logFC_gt_1_excluding_ECM_LIGAND_21"
"CCL11",8.17864651751389,7.73097539120647,506.396500375439,1.28092295295284e-18,9.48377797025494e-16,"fibroblast_vs_epithelial_FDR_lt_0.05_logFC_gt_1_excluding_ECM_LIGAND_21"
"RBMS3",7.70897393501901,4.86711799239461,468.379572778626,1.32861095856414e-18,9.48377797025494e-16,"fibroblast_vs_epithelial_FDR_lt_0.05_logFC_gt_1_excluding_ECM_LIGAND_21"
"PDGFRB",6.51564637027874,5.66112462517523,436.443924125959,1.36398359992161e-18,9.48377797025494e-16,"fibroblast_vs_epithelial_FDR_lt_0.05_logFC_gt_1_excluding_ECM_LIGAND_21"
"ELN",6.05356793378383,5.82860158711701,515.960489908958,1.24564227417589e-18,9.48377797025494e-16,"fibroblast_vs_epithelial_FDR_lt_0.05_logFC_gt_1_excluding_ECM_LIGAND_21"
"TMEM119",6.47419320164077,4.3604573168753,401.056782185479,1.58862068911778e-18,1.05196949061294e-15,"fibroblast_vs_epithelial_FDR_lt_0.05_logFC_gt_1_excluding_ECM_LIGAND_21"
"FILIP1",6.98348839860684,4.71603360509064,400.948723383991,1.83239171948462e-18,1.15823814777969e-15,"fibroblast_vs_epithelial_FDR_lt_0.05_logFC_gt_1_excluding_ECM_LIGAND_21"
"RSPO3",8.16240060946409,5.16571973849612,510.174073859584,2.01901657448288e-18,1.16536027305164e-15,"fibroblast_vs_epithelial_FDR_lt_0.05_logFC_gt_1_excluding_ECM_LIGAND_21"
"GGT5",6.4292550137388,5.14612006229997,346.927737457102,1.93856021545199e-18,1.16536027305164e-15,"fibroblast_vs_epithelial_FDR_lt_0.05_logFC_gt_1_excluding_ECM_LIGAND_21"
"ZEB2",6.02758840190868,5.54125467807798,482.266446099331,2.09506736849496e-18,1.16536027305164e-15,"fibroblast_vs_epithelial_FDR_lt_0.05_logFC_gt_1_excluding_ECM_LIGAND_21"
"JAM3",6.13322871177004,3.79890538308405,403.449649241165,2.39447717081048e-18,1.2806769052804e-15,"fibroblast_vs_epithelial_FDR_lt_0.05_logFC_gt_1_excluding_ECM_LIGAND_21"
"LDB2",6.91294368797259,4.86499402567322,388.714888382665,3.19015576430916e-18,1.58436807351726e-15,"fibroblast_vs_epithelial_FDR_lt_0.05_logFC_gt_1_excluding_ECM_LIGAND_21"
"RERG",7.42241698850331,5.18555867987441,424.084409341903,4.2299932967997e-18,1.63949643395629e-15,"fibroblast_vs_epithelial_FDR_lt_0.05_logFC_gt_1_excluding_ECM_LIGAND_21"
"COX7A1",7.36161266020454,6.83651896936531,462.407761399996,3.67556986069841e-18,1.63949643395629e-15,"fibroblast_vs_epithelial_FDR_lt_0.05_logFC_gt_1_excluding_ECM_LIGAND_21"
"IGF1",7.33546478829184,5.96212480529899,376.719422236988,3.9323921395834e-18,1.63949643395629e-15,"fibroblast_vs_epithelial_FDR_lt_0.05_logFC_gt_1_excluding_ECM_LIGAND_21"
"C1S",7.32013498299528,8.73478412030703,593.756291412153,4.22893910860352e-18,1.63949643395629e-15,"fibroblast_vs_epithelial_FDR_lt_0.05_logFC_gt_1_excluding_ECM_LIGAND_21"
"FXYD6",6.95569881629996,5.60432766403696,466.681620446285,4.1394768277663e-18,1.63949643395629e-15,"fibroblast_vs_epithelial_FDR_lt_0.05_logFC_gt_1_excluding_ECM_LIGAND_21"
