signature,gene,weight,role,locked_before_survival
ECM_LIGAND_21,COL1A1,0.0476190476,extracellular_matrix_or_growth_factor_ligand,TRUE
ECM_LIGAND_21,COL1A2,0.0476190476,extracellular_matrix_or_growth_factor_ligand,TRUE
ECM_LIGAND_21,COL4A1,0.0476190476,extracellular_matrix_or_growth_factor_ligand,TRUE
ECM_LIGAND_21,COL4A2,0.0476190476,extracellular_matrix_or_growth_factor_ligand,TRUE
ECM_LIGAND_21,COL4A5,0.0476190476,extracellular_matrix_or_growth_factor_ligand,TRUE
ECM_LIGAND_21,COL6A1,0.0476190476,extracellular_matrix_or_growth_factor_ligand,TRUE
ECM_LIGAND_21,COL6A2,0.0476190476,extracellular_matrix_or_growth_factor_ligand,TRUE
ECM_LIGAND_21,COL6A3,0.0476190476,extracellular_matrix_or_growth_factor_ligand,TRUE
ECM_LIGAND_21,FN1,0.0476190476,extracellular_matrix_or_growth_factor_ligand,TRUE
ECM_LIGAND_21,LAMA4,0.0476190476,extracellular_matrix_or_growth_factor_ligand,TRUE
ECM_LIGAND_21,LAMA5,0.0476190476,extracellular_matrix_or_growth_factor_ligand,TRUE
ECM_LIGAND_21,LAMB1,0.0476190476,extracellular_matrix_or_growth_factor_ligand,TRUE
ECM_LIGAND_21,LAMB2,0.0476190476,extracellular_matrix_or_growth_factor_ligand,TRUE
ECM_LIGAND_21,LAMC1,0.0476190476,extracellular_matrix_or_growth_factor_ligand,TRUE
ECM_LIGAND_21,THBS1,0.0476190476,extracellular_matrix_or_growth_factor_ligand,TRUE
ECM_LIGAND_21,THBS2,0.0476190476,extracellular_matrix_or_growth_factor_ligand,TRUE
ECM_LIGAND_21,HSPG2,0.0476190476,extracellular_matrix_or_growth_factor_ligand,TRUE
ECM_LIGAND_21,TNC,0.0476190476,extracellular_matrix_or_growth_factor_ligand,TRUE
ECM_LIGAND_21,TNXB,0.0476190476,extracellular_matrix_or_growth_factor_ligand,TRUE
ECM_LIGAND_21,PTN,0.0476190476,extracellular_matrix_or_growth_factor_ligand,TRUE
ECM_LIGAND_21,MDK,0.0476190476,extracellular_matrix_or_growth_factor_ligand,TRUE

