signature,gene,ensembl_gene_id,mapping_source,verified_utc
ECM_LIGAND_21,COL1A1,ENSG00000108821,Ensembl_REST_symbol_lookup,2026-07-21
ECM_LIGAND_21,COL1A2,ENSG00000164692,Ensembl_REST_symbol_lookup,2026-07-21
ECM_LIGAND_21,COL4A1,ENSG00000187498,Ensembl_REST_symbol_lookup,2026-07-21
ECM_LIGAND_21,COL4A2,ENSG00000134871,Ensembl_REST_symbol_lookup,2026-07-21
ECM_LIGAND_21,COL4A5,ENSG00000188153,Ensembl_REST_symbol_lookup,2026-07-21
ECM_LIGAND_21,COL6A1,ENSG00000142156,Ensembl_REST_symbol_lookup,2026-07-21
ECM_LIGAND_21,COL6A2,ENSG00000142173,Ensembl_REST_symbol_lookup,2026-07-21
ECM_LIGAND_21,COL6A3,ENSG00000163359,Ensembl_REST_symbol_lookup,2026-07-21
ECM_LIGAND_21,FN1,ENSG00000115414,Ensembl_REST_symbol_lookup,2026-07-21
ECM_LIGAND_21,LAMA4,ENSG00000112769,Ensembl_REST_symbol_lookup,2026-07-21
ECM_LIGAND_21,LAMA5,ENSG00000130702,Ensembl_REST_symbol_lookup,2026-07-21
ECM_LIGAND_21,LAMB1,ENSG00000091136,Ensembl_REST_symbol_lookup,2026-07-21
ECM_LIGAND_21,LAMB2,ENSG00000172037,Ensembl_REST_symbol_lookup,2026-07-21
ECM_LIGAND_21,LAMC1,ENSG00000135862,Ensembl_REST_symbol_lookup,2026-07-21
ECM_LIGAND_21,THBS1,ENSG00000137801,Ensembl_REST_symbol_lookup,2026-07-21
ECM_LIGAND_21,THBS2,ENSG00000186340,Ensembl_REST_symbol_lookup,2026-07-21
ECM_LIGAND_21,HSPG2,ENSG00000142798,Ensembl_REST_symbol_lookup,2026-07-21
ECM_LIGAND_21,TNC,ENSG00000041982,Ensembl_REST_symbol_lookup,2026-07-21
ECM_LIGAND_21,TNXB,ENSG00000168477,Ensembl_REST_symbol_lookup,2026-07-21
ECM_LIGAND_21,PTN,ENSG00000105894,Ensembl_REST_symbol_lookup,2026-07-21
ECM_LIGAND_21,MDK,ENSG00000110492,Ensembl_REST_symbol_lookup,2026-07-21
