gene,weight,matrisome_division,matrisome_category,naba_gene_set,functional_family,naba_source_url,uniprot_reviewed_entry,source_publication_doi,provenance_interpretation
COL1A1,0.0476190476,Core matrisome,Collagens,NABA_COLLAGENS,Type I collagen,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_COLLAGENS.html,,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive."
COL1A2,0.0476190476,Core matrisome,Collagens,NABA_COLLAGENS,Type I collagen,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_COLLAGENS.html,,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive."
COL4A1,0.0476190476,Core matrisome,Collagens,NABA_COLLAGENS,Type IV collagen / basement-membrane collagen,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_COLLAGENS.html,,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive."
COL4A2,0.0476190476,Core matrisome,Collagens,NABA_COLLAGENS,Type IV collagen / basement-membrane collagen,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_COLLAGENS.html,,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive."
COL4A5,0.0476190476,Core matrisome,Collagens,NABA_COLLAGENS,Type IV collagen / basement-membrane collagen,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_COLLAGENS.html,,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive."
COL6A1,0.0476190476,Core matrisome,Collagens,NABA_COLLAGENS,Type VI collagen,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_COLLAGENS.html,,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive."
COL6A2,0.0476190476,Core matrisome,Collagens,NABA_COLLAGENS,Type VI collagen,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_COLLAGENS.html,,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive."
COL6A3,0.0476190476,Core matrisome,Collagens,NABA_COLLAGENS,Type VI collagen,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_COLLAGENS.html,,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive."
FN1,0.0476190476,Core matrisome,ECM glycoproteins,NABA_ECM_GLYCOPROTEINS,Fibronectin,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_ECM_GLYCOPROTEINS.html,,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive."
LAMA4,0.0476190476,Core matrisome,ECM glycoproteins,NABA_ECM_GLYCOPROTEINS,Laminin,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_ECM_GLYCOPROTEINS.html,,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive."
LAMA5,0.0476190476,Core matrisome,ECM glycoproteins,NABA_ECM_GLYCOPROTEINS,Laminin,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_ECM_GLYCOPROTEINS.html,,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive."
LAMB1,0.0476190476,Core matrisome,ECM glycoproteins,NABA_ECM_GLYCOPROTEINS,Laminin,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_ECM_GLYCOPROTEINS.html,,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive."
LAMB2,0.0476190476,Core matrisome,ECM glycoproteins,NABA_ECM_GLYCOPROTEINS,Laminin,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_ECM_GLYCOPROTEINS.html,,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive."
LAMC1,0.0476190476,Core matrisome,ECM glycoproteins,NABA_ECM_GLYCOPROTEINS,Laminin,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_ECM_GLYCOPROTEINS.html,,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive."
THBS1,0.0476190476,Core matrisome,ECM glycoproteins,NABA_ECM_GLYCOPROTEINS,Thrombospondin,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_ECM_GLYCOPROTEINS.html,,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive."
THBS2,0.0476190476,Core matrisome,ECM glycoproteins,NABA_ECM_GLYCOPROTEINS,Thrombospondin,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_ECM_GLYCOPROTEINS.html,,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive."
HSPG2,0.0476190476,Core matrisome,Proteoglycans,NABA_PROTEOGLYCANS,Perlecan / heparan-sulfate proteoglycan,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_PROTEOGLYCANS.html,,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive."
TNC,0.0476190476,Core matrisome,ECM glycoproteins,NABA_ECM_GLYCOPROTEINS,Tenascin,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_ECM_GLYCOPROTEINS.html,,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive."
TNXB,0.0476190476,Core matrisome,ECM glycoproteins,NABA_ECM_GLYCOPROTEINS,Tenascin,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_ECM_GLYCOPROTEINS.html,,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive."
PTN,0.0476190476,Matrisome-associated,Secreted factors,NABA_SECRETED_FACTORS,Pleiotrophin; secreted growth factor,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_SECRETED_FACTORS.html,https://www.uniprot.org/uniprotkb/P21246/entry,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive."
MDK,0.0476190476,Matrisome-associated,Secreted factors,NABA_SECRETED_FACTORS,Midkine; secreted growth factor,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_SECRETED_FACTORS.html,https://www.uniprot.org/uniprotkb/P21741/entry,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive."
