rank,gene,discovery_logFC,discovery_FDR,definition
1,ETV4,4.0581342312,6.8150870455e-08,top_paired_epithelial_tumor_up_non_ECM
2,BMP4,5.8293741063,2.3153271884e-07,top_paired_epithelial_tumor_up_non_ECM
3,SLC29A1,3.4883240808,2.3153271884e-07,top_paired_epithelial_tumor_up_non_ECM
4,WDR24,3.0850829821,2.5351387805e-07,top_paired_epithelial_tumor_up_non_ECM
5,CRNDE,5.2033091243,2.9636401192e-07,top_paired_epithelial_tumor_up_non_ECM
6,TESC,5.6377836868,4.4568888921e-07,top_paired_epithelial_tumor_up_non_ECM
7,PHGDH,4.4544895535,4.5355398649e-07,top_paired_epithelial_tumor_up_non_ECM
8,LY6E,4.4049920651,7.5050205886e-07,top_paired_epithelial_tumor_up_non_ECM
9,FXYD5,4.2636849790,7.5050205886e-07,top_paired_epithelial_tumor_up_non_ECM
10,S100A9,4.4580230328,1.0683816364e-06,top_paired_epithelial_tumor_up_non_ECM
11,PARVB,4.6352892741,1.3344041282e-06,top_paired_epithelial_tumor_up_non_ECM
12,PITX1,4.4549047610,1.9955541108e-06,top_paired_epithelial_tumor_up_non_ECM
13,IFITM3,2.5419242007,1.9955541108e-06,top_paired_epithelial_tumor_up_non_ECM
14,MMP7,10.6685085832,2.2611460817e-06,top_paired_epithelial_tumor_up_non_ECM
15,KRT80,4.3784636388,3.9091127715e-06,top_paired_epithelial_tumor_up_non_ECM
16,KRT23,6.9949822725,5.0158553139e-06,top_paired_epithelial_tumor_up_non_ECM
17,ARNTL2,2.8121152305,5.3960557710e-06,top_paired_epithelial_tumor_up_non_ECM
18,TRIB3,4.9744600981,6.4666310928e-06,top_paired_epithelial_tumor_up_non_ECM
19,OAS3,2.6053835717,1.0727375386e-05,top_paired_epithelial_tumor_up_non_ECM
20,PACSIN3,5.9893032208,1.2225632207e-05,top_paired_epithelial_tumor_up_non_ECM
21,CGREF1,4.8608263239,1.2257271601e-05,top_paired_epithelial_tumor_up_non_ECM
22,GRINA,1.9485333844,1.2257271601e-05,top_paired_epithelial_tumor_up_non_ECM
23,PROCR,3.7592267471,1.3307678261e-05,top_paired_epithelial_tumor_up_non_ECM
24,CLDN1,4.6926662718,1.9730932169e-05,top_paired_epithelial_tumor_up_non_ECM
25,BCL2L1,2.4383992399,2.3421742336e-05,top_paired_epithelial_tumor_up_non_ECM
26,LMTK3,5.9929002581,2.5467946653e-05,top_paired_epithelial_tumor_up_non_ECM
27,SLC6A6,2.4330883538,2.9371194319e-05,top_paired_epithelial_tumor_up_non_ECM
28,FBXO2,5.3108681366,3.1935672029e-05,top_paired_epithelial_tumor_up_non_ECM
29,TRPM2,3.4879235525,3.2245510713e-05,top_paired_epithelial_tumor_up_non_ECM
30,MYEOV,3.0180315099,3.2245510713e-05,top_paired_epithelial_tumor_up_non_ECM
31,XXbac-BPG32J3.19,8.4084598950,3.6134330398e-05,top_paired_epithelial_tumor_up_non_ECM
32,CEMIP,6.0453115941,3.6997788392e-05,top_paired_epithelial_tumor_up_non_ECM
33,CPNE7,4.1891209610,4.4603350904e-05,top_paired_epithelial_tumor_up_non_ECM
34,NKD1,8.0195885449,4.7460880135e-05,top_paired_epithelial_tumor_up_non_ECM
35,DPEP1,5.5312079843,5.0583203680e-05,top_paired_epithelial_tumor_up_non_ECM
36,IFITM1,2.6990991664,5.1236629109e-05,top_paired_epithelial_tumor_up_non_ECM
37,GAL,4.8980065702,5.2610770575e-05,top_paired_epithelial_tumor_up_non_ECM
38,FSTL3,4.1215236889,5.2877208465e-05,top_paired_epithelial_tumor_up_non_ECM
39,IFI6,4.9754585270,5.3212982461e-05,top_paired_epithelial_tumor_up_non_ECM
40,BCAS4,2.6828758168,5.3907444011e-05,top_paired_epithelial_tumor_up_non_ECM
41,IFI44,4.1944158891,5.5317597434e-05,top_paired_epithelial_tumor_up_non_ECM
42,MTHFD1L,2.7130020485,5.9820216067e-05,top_paired_epithelial_tumor_up_non_ECM
43,TPD52L2,1.7599107533,6.1033282190e-05,top_paired_epithelial_tumor_up_non_ECM
44,BLVRA,3.2637090358,6.1492856124e-05,top_paired_epithelial_tumor_up_non_ECM
45,REG1A,5.9386476347,7.6670929835e-05,top_paired_epithelial_tumor_up_non_ECM
46,SPP1,4.5339535948,7.7287233265e-05,top_paired_epithelial_tumor_up_non_ECM
47,GPCPD1,1.9061794468,8.1361593672e-05,top_paired_epithelial_tumor_up_non_ECM
48,SCD,3.5272921250,8.1386550250e-05,top_paired_epithelial_tumor_up_non_ECM
49,LDHA,1.6322918645,8.3000413882e-05,top_paired_epithelial_tumor_up_non_ECM
50,TGM2,4.5223690873,8.8967331952e-05,top_paired_epithelial_tumor_up_non_ECM

