"sample_id","dataset","patient_id","condition","cell_class","n_cells","paired_id"
"GSE144735__KUL01__Tumor__Epithelial","GSE144735","KUL01","Tumor","Epithelial",730,"GSE144735__KUL01"
"GSE144735__KUL19__Tumor__Epithelial","GSE144735","KUL19","Tumor","Epithelial",574,"GSE144735__KUL19"
"GSE144735__KUL21__Tumor__Epithelial","GSE144735","KUL21","Tumor","Epithelial",759,"GSE144735__KUL21"
"GSE144735__KUL28__Tumor__Epithelial","GSE144735","KUL28","Tumor","Epithelial",40,"GSE144735__KUL28"
"GSE144735__KUL30__Tumor__Epithelial","GSE144735","KUL30","Tumor","Epithelial",68,"GSE144735__KUL30"
"GSE144735__KUL31__Tumor__Epithelial","GSE144735","KUL31","Tumor","Epithelial",41,"GSE144735__KUL31"
"GSE144735__KUL01__Border__Epithelial","GSE144735","KUL01","Border","Epithelial",1102,"GSE144735__KUL01"
"GSE144735__KUL19__Border__Epithelial","GSE144735","KUL19","Border","Epithelial",218,"GSE144735__KUL19"
"GSE144735__KUL21__Border__Epithelial","GSE144735","KUL21","Border","Epithelial",740,"GSE144735__KUL21"
"GSE144735__KUL30__Border__Epithelial","GSE144735","KUL30","Border","Epithelial",190,"GSE144735__KUL30"
"GSE144735__KUL31__Border__Epithelial","GSE144735","KUL31","Border","Epithelial",545,"GSE144735__KUL31"
"GSE144735__KUL01__Normal__Epithelial","GSE144735","KUL01","Normal","Epithelial",172,"GSE144735__KUL01"
"GSE144735__KUL19__Normal__Epithelial","GSE144735","KUL19","Normal","Epithelial",287,"GSE144735__KUL19"
"GSE144735__KUL21__Normal__Epithelial","GSE144735","KUL21","Normal","Epithelial",249,"GSE144735__KUL21"
"GSE144735__KUL28__Normal__Epithelial","GSE144735","KUL28","Normal","Epithelial",20,"GSE144735__KUL28"
"GSE144735__KUL30__Normal__Epithelial","GSE144735","KUL30","Normal","Epithelial",150,"GSE144735__KUL30"
"GSE144735__KUL31__Normal__Epithelial","GSE144735","KUL31","Normal","Epithelial",266,"GSE144735__KUL31"
"GSE144735__KUL01__Tumor__Fibroblast","GSE144735","KUL01","Tumor","Fibroblast",311,"GSE144735__KUL01"
"GSE144735__KUL01__Tumor__Smooth_muscle","GSE144735","KUL01","Tumor","Smooth_muscle",64,"GSE144735__KUL01"
"GSE144735__KUL01__Tumor__Pericyte","GSE144735","KUL01","Tumor","Pericyte",37,"GSE144735__KUL01"
"GSE144735__KUL19__Tumor__Fibroblast","GSE144735","KUL19","Tumor","Fibroblast",189,"GSE144735__KUL19"
"GSE144735__KUL19__Tumor__Smooth_muscle","GSE144735","KUL19","Tumor","Smooth_muscle",64,"GSE144735__KUL19"
"GSE144735__KUL19__Tumor__Pericyte","GSE144735","KUL19","Tumor","Pericyte",28,"GSE144735__KUL19"
"GSE144735__KUL21__Tumor__Fibroblast","GSE144735","KUL21","Tumor","Fibroblast",613,"GSE144735__KUL21"
"GSE144735__KUL21__Tumor__Pericyte","GSE144735","KUL21","Tumor","Pericyte",51,"GSE144735__KUL21"
"GSE144735__KUL21__Tumor__Smooth_muscle","GSE144735","KUL21","Tumor","Smooth_muscle",26,"GSE144735__KUL21"
"GSE144735__KUL28__Tumor__Pericyte","GSE144735","KUL28","Tumor","Pericyte",56,"GSE144735__KUL28"
"GSE144735__KUL28__Tumor__Fibroblast","GSE144735","KUL28","Tumor","Fibroblast",43,"GSE144735__KUL28"
"GSE144735__KUL30__Tumor__Fibroblast","GSE144735","KUL30","Tumor","Fibroblast",126,"GSE144735__KUL30"
"GSE144735__KUL30__Tumor__Smooth_muscle","GSE144735","KUL30","Tumor","Smooth_muscle",30,"GSE144735__KUL30"
"GSE144735__KUL30__Tumor__Pericyte","GSE144735","KUL30","Tumor","Pericyte",29,"GSE144735__KUL30"
"GSE144735__KUL01__Border__Fibroblast","GSE144735","KUL01","Border","Fibroblast",92,"GSE144735__KUL01"
"GSE144735__KUL01__Border__Smooth_muscle","GSE144735","KUL01","Border","Smooth_muscle",32,"GSE144735__KUL01"
"GSE144735__KUL01__Border__Pericyte","GSE144735","KUL01","Border","Pericyte",28,"GSE144735__KUL01"
"GSE144735__KUL19__Border__Smooth_muscle","GSE144735","KUL19","Border","Smooth_muscle",53,"GSE144735__KUL19"
"GSE144735__KUL19__Border__Fibroblast","GSE144735","KUL19","Border","Fibroblast",248,"GSE144735__KUL19"
"GSE144735__KUL21__Border__Fibroblast","GSE144735","KUL21","Border","Fibroblast",349,"GSE144735__KUL21"
"GSE144735__KUL21__Border__Smooth_muscle","GSE144735","KUL21","Border","Smooth_muscle",25,"GSE144735__KUL21"
"GSE144735__KUL21__Border__Pericyte","GSE144735","KUL21","Border","Pericyte",48,"GSE144735__KUL21"
"GSE144735__KUL28__Border__Fibroblast","GSE144735","KUL28","Border","Fibroblast",75,"GSE144735__KUL28"
"GSE144735__KUL28__Border__Pericyte","GSE144735","KUL28","Border","Pericyte",53,"GSE144735__KUL28"
"GSE144735__KUL30__Border__Fibroblast","GSE144735","KUL30","Border","Fibroblast",113,"GSE144735__KUL30"
"GSE144735__KUL31__Border__Fibroblast","GSE144735","KUL31","Border","Fibroblast",66,"GSE144735__KUL31"
"GSE144735__KUL01__Normal__Fibroblast","GSE144735","KUL01","Normal","Fibroblast",701,"GSE144735__KUL01"
"GSE144735__KUL01__Normal__Smooth_muscle","GSE144735","KUL01","Normal","Smooth_muscle",63,"GSE144735__KUL01"
"GSE144735__KUL19__Normal__Fibroblast","GSE144735","KUL19","Normal","Fibroblast",450,"GSE144735__KUL19"
"GSE144735__KUL19__Normal__Smooth_muscle","GSE144735","KUL19","Normal","Smooth_muscle",57,"GSE144735__KUL19"
"GSE144735__KUL21__Normal__Fibroblast","GSE144735","KUL21","Normal","Fibroblast",123,"GSE144735__KUL21"
"GSE144735__KUL28__Normal__Fibroblast","GSE144735","KUL28","Normal","Fibroblast",284,"GSE144735__KUL28"
"GSE144735__KUL28__Normal__Smooth_muscle","GSE144735","KUL28","Normal","Smooth_muscle",26,"GSE144735__KUL28"
"GSE144735__KUL30__Normal__Fibroblast","GSE144735","KUL30","Normal","Fibroblast",595,"GSE144735__KUL30"
"GSE144735__KUL30__Normal__Smooth_muscle","GSE144735","KUL30","Normal","Smooth_muscle",105,"GSE144735__KUL30"
"GSE144735__KUL31__Normal__Fibroblast","GSE144735","KUL31","Normal","Fibroblast",204,"GSE144735__KUL31"
"GSE144735__KUL01__Tumor__Myeloid","GSE144735","KUL01","Tumor","Myeloid",346,"GSE144735__KUL01"
"GSE144735__KUL19__Tumor__Myeloid","GSE144735","KUL19","Tumor","Myeloid",208,"GSE144735__KUL19"
"GSE144735__KUL21__Tumor__Myeloid","GSE144735","KUL21","Tumor","Myeloid",244,"GSE144735__KUL21"
"GSE144735__KUL28__Tumor__Myeloid","GSE144735","KUL28","Tumor","Myeloid",59,"GSE144735__KUL28"
"GSE144735__KUL30__Tumor__Myeloid","GSE144735","KUL30","Tumor","Myeloid",67,"GSE144735__KUL30"
"GSE144735__KUL01__Border__Myeloid","GSE144735","KUL01","Border","Myeloid",349,"GSE144735__KUL01"
