gene,weight,matrisome_division,matrisome_category,naba_gene_set,functional_family,naba_source_url,uniprot_reviewed_entry,source_publication_doi,provenance_interpretation,membership_layer,operational_reason_for_21_gene_scope,historical_selection_status,outcome_used_for_membership,current_data_used_to_reweight
COL1A1,0.0476190476,Core matrisome,Collagens,NABA_COLLAGENS,Type I collagen,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_COLLAGENS.html,,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive.",ECM_CORE_19,Structural core-matrisome component,Exact original inclusion/exclusion history is not recoverable; classification is a retrospective annotation of the unchanged frozen panel.,False,False
COL1A2,0.0476190476,Core matrisome,Collagens,NABA_COLLAGENS,Type I collagen,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_COLLAGENS.html,,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive.",ECM_CORE_19,Structural core-matrisome component,Exact original inclusion/exclusion history is not recoverable; classification is a retrospective annotation of the unchanged frozen panel.,False,False
COL4A1,0.0476190476,Core matrisome,Collagens,NABA_COLLAGENS,Type IV collagen / basement-membrane collagen,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_COLLAGENS.html,,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive.",ECM_CORE_19,Structural core-matrisome component,Exact original inclusion/exclusion history is not recoverable; classification is a retrospective annotation of the unchanged frozen panel.,False,False
COL4A2,0.0476190476,Core matrisome,Collagens,NABA_COLLAGENS,Type IV collagen / basement-membrane collagen,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_COLLAGENS.html,,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive.",ECM_CORE_19,Structural core-matrisome component,Exact original inclusion/exclusion history is not recoverable; classification is a retrospective annotation of the unchanged frozen panel.,False,False
COL4A5,0.0476190476,Core matrisome,Collagens,NABA_COLLAGENS,Type IV collagen / basement-membrane collagen,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_COLLAGENS.html,,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive.",ECM_CORE_19,Structural core-matrisome component,Exact original inclusion/exclusion history is not recoverable; classification is a retrospective annotation of the unchanged frozen panel.,False,False
COL6A1,0.0476190476,Core matrisome,Collagens,NABA_COLLAGENS,Type VI collagen,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_COLLAGENS.html,,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive.",ECM_CORE_19,Structural core-matrisome component,Exact original inclusion/exclusion history is not recoverable; classification is a retrospective annotation of the unchanged frozen panel.,False,False
COL6A2,0.0476190476,Core matrisome,Collagens,NABA_COLLAGENS,Type VI collagen,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_COLLAGENS.html,,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive.",ECM_CORE_19,Structural core-matrisome component,Exact original inclusion/exclusion history is not recoverable; classification is a retrospective annotation of the unchanged frozen panel.,False,False
COL6A3,0.0476190476,Core matrisome,Collagens,NABA_COLLAGENS,Type VI collagen,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_COLLAGENS.html,,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive.",ECM_CORE_19,Structural core-matrisome component,Exact original inclusion/exclusion history is not recoverable; classification is a retrospective annotation of the unchanged frozen panel.,False,False
FN1,0.0476190476,Core matrisome,ECM glycoproteins,NABA_ECM_GLYCOPROTEINS,Fibronectin,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_ECM_GLYCOPROTEINS.html,,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive.",ECM_CORE_19,Structural core-matrisome component,Exact original inclusion/exclusion history is not recoverable; classification is a retrospective annotation of the unchanged frozen panel.,False,False
LAMA4,0.0476190476,Core matrisome,ECM glycoproteins,NABA_ECM_GLYCOPROTEINS,Laminin,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_ECM_GLYCOPROTEINS.html,,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive.",ECM_CORE_19,Structural core-matrisome component,Exact original inclusion/exclusion history is not recoverable; classification is a retrospective annotation of the unchanged frozen panel.,False,False
