gene,panel,module,naba_gene_set,role_in_extension,mean_logCPM,detection_rate,fibroblast_specificity,n_specificity_patients,fibroblast_tumor_normal_effect,n_tumor_normal_pairs,dataset,specificity_t_p,tumor_normal_t_p
"COL1A1","ECM_CORE_19","Interstitial_collagen","NABA_COLLAGENS","core_structural_ECM",4.42941217605437,0.890243902439024,8.22550089985971,15,2.75669214873785,7,"GSE132465",1.03040389810514e-11,9.01410519559303e-05
"COL1A2","ECM_CORE_19","Interstitial_collagen","NABA_COLLAGENS","core_structural_ECM",4.26309695720759,0.847560975609756,8.00578183215941,15,1.3701597893294,7,"GSE132465",1.56287354010855e-11,0.000508154959931231
"COL4A1","ECM_CORE_19","Basement_membrane","NABA_COLLAGENS","core_structural_ECM",1.96609446168499,0.682926829268293,5.39309291501546,15,2.04007606037524,7,"GSE132465",7.34135211989115e-08,0.000168467004961584
"COL4A2","ECM_CORE_19","Basement_membrane","NABA_COLLAGENS","core_structural_ECM",2.42930405920828,0.774390243902439,4.87650062302739,15,1.33596712637073,7,"GSE132465",4.26196494699352e-08,0.00048988235906978
"COL4A5","ECM_CORE_19","Basement_membrane","NABA_COLLAGENS","core_structural_ECM",NA,NA,NA,NA,NA,NA,"GSE132465",NA,NA
"COL6A1","ECM_CORE_19","Interstitial_collagen","NABA_COLLAGENS","core_structural_ECM",3.23735985664275,0.823170731707317,6.89004118134898,15,1.0533912196947,7,"GSE132465",9.00850533789881e-11,1.91643889942613e-07
"COL6A2","ECM_CORE_19","Interstitial_collagen","NABA_COLLAGENS","core_structural_ECM",3.38331446028172,0.823170731707317,7.22246632397539,15,0.241003765235776,7,"GSE132465",4.11317661125387e-11,0.0119497569797936
"COL6A3","ECM_CORE_19","Interstitial_collagen","NABA_COLLAGENS","core_structural_ECM",2.39505639399166,0.713414634146341,7.22778734326247,15,1.5361401725182,7,"GSE132465",1.07249589384845e-11,0.000918892054451052
"FN1","ECM_CORE_19","Adhesive_matricellular","NABA_ECM_GLYCOPROTEINS","core_structural_ECM",4.05903420410955,0.859756097560976,5.47461756913923,15,0.539508355238819,7,"GSE132465",1.10919333692521e-11,0.277699361520251
"LAMA4","ECM_CORE_19","Basement_membrane","NABA_ECM_GLYCOPROTEINS","core_structural_ECM",1.28692841240592,0.518292682926829,5.86491084555531,15,-0.138678127435236,7,"GSE132465",2.34559603790111e-09,0.357056782165424
"LAMA5","ECM_CORE_19","Basement_membrane","NABA_ECM_GLYCOPROTEINS","core_structural_ECM",1.08996857291937,0.603658536585366,0.93720237993848,15,-1.08057805520895,7,"GSE132465",0.0748876988537859,0.0612269916967978
"LAMB1","ECM_CORE_19","Basement_membrane","NABA_ECM_GLYCOPROTEINS","core_structural_ECM",2.24614177400772,0.829268292682927,4.1674823065914,15,-0.133350899362132,7,"GSE132465",9.35700809134955e-12,0.469157260809835
"LAMB2","ECM_CORE_19","Basement_membrane","NABA_ECM_GLYCOPROTEINS","core_structural_ECM",1.96502602879924,0.74390243902439,3.7858986244669,15,-0.228512471854847,7,"GSE132465",1.05048198054054e-08,0.23201905879516
"LAMC1","ECM_CORE_19","Basement_membrane","NABA_ECM_GLYCOPROTEINS","core_structural_ECM",2.50782180498341,0.804878048780488,3.95004762197919,15,-0.263404045344385,7,"GSE132465",4.8379939362015e-11,0.217713739921923
"THBS1","ECM_CORE_19","Adhesive_matricellular","NABA_ECM_GLYCOPROTEINS","core_structural_ECM",4.66914487405943,0.957317073170732,2.93643250071409,15,-1.08661536387959,7,"GSE132465",7.18624488249822e-07,0.00725121065663227
"THBS2","ECM_CORE_19","Adhesive_matricellular","NABA_ECM_GLYCOPROTEINS","core_structural_ECM",0.756104552510105,0.414634146341463,7.03424703351568,15,2.43601503588896,7,"GSE132465",3.43422561425417e-12,0.0124149675554089
"HSPG2","ECM_CORE_19","Basement_membrane","NABA_PROTEOGLYCANS","core_structural_ECM",2.57696786326522,0.847560975609756,3.27611421360706,15,0.407753806418886,7,"GSE132465",4.19022574321704e-10,0.233420560350243
"TNC","ECM_CORE_19","Adhesive_matricellular","NABA_ECM_GLYCOPROTEINS","core_structural_ECM",0.786117027333196,0.469512195121951,6.26344250900748,15,3.73987703200772,7,"GSE132465",1.08420541653171e-11,0.000711667200105399
"TNXB","ECM_CORE_19","Adhesive_matricellular","NABA_ECM_GLYCOPROTEINS","core_structural_ECM",-0.131191590939517,0.323170731707317,3.20781948701967,15,-5.716608765208,7,"GSE132465",5.54196373732922e-06,6.77709981975503e-05
"PTN","ECM_LIGAND_21","ECM_linked_secreted_factor","NABA_SECRETED_FACTORS","functional_scope_extension",0.283994437015393,0.335365853658537,6.19556175132069,15,-3.18091306944906,7,"GSE132465",9.65839023836507e-11,0.000256210561955137
"MDK","ECM_LIGAND_21","ECM_linked_secreted_factor","NABA_SECRETED_FACTORS","functional_scope_extension",4.72260731188718,0.951219512195122,3.15790918071811,15,1.29580438045886,7,"GSE132465",1.28328427575166e-07,0.00186417533119624
"COL1A1","ECM_CORE_19","Interstitial_collagen","NABA_COLLAGENS","core_structural_ECM",5.71563137018715,0.871287128712871,7.18517764240833,5,2.65228819042499,5,"GSE144735",0.00164220541781818,0.0027895432660972
"COL1A2","ECM_CORE_19","Interstitial_collagen","NABA_COLLAGENS","core_structural_ECM",6.15484564515672,0.930693069306931,6.23600007674784,5,1.58258376000548,5,"GSE144735",0.000770883259892319,0.00825717336520964
"COL4A1","ECM_CORE_19","Basement_membrane","NABA_COLLAGENS","core_structural_ECM",3.65324571574736,0.732673267326733,3.22407230832002,5,1.58125830863806,5,"GSE144735",0.00952061762301951,0.00311812363254877
"COL4A2","ECM_CORE_19","Basement_membrane","NABA_COLLAGENS","core_structural_ECM",3.834521668727,0.821782178217822,3.13924126025715,5,1.59241224604745,5,"GSE144735",0.00203586395204198,0.00224548929473616
"COL4A5","ECM_CORE_19","Basement_membrane","NABA_COLLAGENS","core_structural_ECM",0.425359678484844,0.297029702970297,3.51373334544654,5,0.588178229204792,5,"GSE144735",0.003014852383755,0.189636837347973
"COL6A1","ECM_CORE_19","Interstitial_collagen","NABA_COLLAGENS","core_structural_ECM",4.78486387565061,0.891089108910891,4.78765533061432,5,0.396447679885207,5,"GSE144735",0.00145701805363701,0.103959610586458
"COL6A2","ECM_CORE_19","Interstitial_collagen","NABA_COLLAGENS","core_structural_ECM",5.18166911902394,0.900990099009901,5.14667747369555,5,-0.0499020479571648,5,"GSE144735",0.000180894948076328,0.799606683397524
"COL6A3","ECM_CORE_19","Interstitial_collagen","NABA_COLLAGENS","core_structural_ECM",4.30850075332451,0.871287128712871,5.92166236701958,5,1.28142260065382,5,"GSE144735",0.000452203421890497,0.0470113239418714
"FN1","ECM_CORE_19","Adhesive_matricellular","NABA_ECM_GLYCOPROTEINS","core_structural_ECM",5.62065528362938,0.920792079207921,3.95203935054188,5,0.51815026092693,5,"GSE144735",0.000407132243412577,0.383840010005153
"LAMA4","ECM_CORE_19","Basement_membrane","NABA_ECM_GLYCOPROTEINS","core_structural_ECM",2.76988328203547,0.673267326732673,4.18863813503975,5,-0.179003704914629,5,"GSE144735",0.000443730733034914,0.391890605069087
"LAMA5","ECM_CORE_19","Basement_membrane","NABA_ECM_GLYCOPROTEINS","core_structural_ECM",2.14416008105808,0.693069306930693,0.172143708543917,5,-0.430945362726031,5,"GSE144735",0.741699352393908,0.160695006088461
"LAMB1","ECM_CORE_19","Basement_membrane","NABA_ECM_GLYCOPROTEINS","core_structural_ECM",2.85908243764471,0.801980198019802,3.86355075980249,5,-0.533778164399899,5,"GSE144735",0.00090953380006776,0.0158112499547187
"LAMB2","ECM_CORE_19","Basement_membrane","NABA_ECM_GLYCOPROTEINS","core_structural_ECM",3.35559748140866,0.861386138613861,2.18251444890937,5,-0.356769075932194,5,"GSE144735",0.00389124324134324,0.0849083014688218
"LAMC1","ECM_CORE_19","Basement_membrane","NABA_ECM_GLYCOPROTEINS","core_structural_ECM",3.60022622444373,0.811881188118812,3.19214705255013,5,-0.388483414613138,5,"GSE144735",0.00404139922750118,0.210938521951285
"THBS1","ECM_CORE_19","Adhesive_matricellular","NABA_ECM_GLYCOPROTEINS","core_structural_ECM",5.12492871543247,0.95049504950495,2.07361958549247,5,0.983309857457793,5,"GSE144735",0.00306259733128006,0.0330874473119297
"THBS2","ECM_CORE_19","Adhesive_matricellular","NABA_ECM_GLYCOPROTEINS","core_structural_ECM",2.5113616137045,0.633663366336634,5.81851837421727,5,1.81728457312832,5,"GSE144735",0.000137716408994404,0.00604278547211438
"HSPG2","ECM_CORE_19","Basement_membrane","NABA_PROTEOGLYCANS","core_structural_ECM",4.03730830933897,0.910891089108911,2.73326811148361,5,0.48528412972672,5,"GSE144735",0.00352028443083383,0.137325553207203
