dataset,contrast,case_condition,reference_condition,cell_class,feature,n_pairs,mean_paired_difference,bootstrap_CI_low,bootstrap_CI_high,median_paired_difference,paired_difference_sd,paired_Cohen_dz,Wilcoxon_p,paired_t_p_sensitivity,status,BH_FDR,score_type,score_label,context,ci_excludes_zero
GSE132465,Tumor_vs_Normal,Tumor,Normal,Epithelial,M1_interstitial_pericellular_collagen,8,0.581691029104233,-0.145149708739826,1.42273886668012,-0.0035525864467653,1.2174106647981,0.477810032328492,0.62406453246517,0.218595236771526,estimated,0.833634883024682,module,M1,GSE132465 Epithelial,False
GSE132465,Tumor_vs_Normal,Tumor,Normal,Epithelial,M2_basement_membrane,8,1.40157405944892,0.823312506131986,1.94015801526582,1.60336818005395,0.858148862579513,1.63325283125811,0.0208625823327655,0.0024274706020576,estimated,0.0764961352201402,module,M2,GSE132465 Epithelial,True
GSE132465,Tumor_vs_Normal,Tumor,Normal,Epithelial,M3_matrix_organizing_glycoproteins,8,-0.0073027233746278,-0.89743344361642,0.814449499085537,0.449444131735317,1.37380520146881,-0.0053156905846768,0.833634883024682,0.988423772070342,estimated,0.833634883024682,module,M3,GSE132465 Epithelial,False
GSE132465,Tumor_vs_Normal,Tumor,Normal,Epithelial,M4_secreted_heparin_binding_factors,8,-0.462515012784971,-1.49402152714245,0.652332325702693,-0.442957850150741,1.6618845956428,-0.27830753952327,0.528612125255688,0.457000533874412,estimated,0.830676196830367,module,M4,GSE132465 Epithelial,False
GSE132465,Tumor_vs_Normal,Tumor,Normal,Epithelial,ECM19_structural_gene_equal,8,0.933992522238501,0.356905136734482,1.65475160133774,0.542941286980034,1.00178291818194,0.932330253677643,0.0142661867014469,0.0335680720255656,estimated,0.0764961352201402,structural_core,ECM19,GSE132465 Epithelial,True
GSE132465,Tumor_vs_Normal,Tumor,Normal,Epithelial,ECM21_gene_equal,8,0.802228987784763,0.173432546866207,1.60282450654985,0.347861144343603,1.10152122325627,0.728291902913365,0.058707408431205,0.0783742837833939,estimated,0.107630248790543,full_panel_gene_equal,ECM21-GE,GSE132465 Epithelial,True
GSE132465,Tumor_vs_Normal,Tumor,Normal,Epithelial,ECM21_module_balanced,8,0.40943262491492,-0.390901747411785,1.28239735886892,0.0177614315773949,1.346561116613,0.304057959095659,0.726286148878805,0.418263108575472,estimated,0.833634883024682,full_panel_module_balanced,ECM21-MB,GSE132465 Epithelial,False
GSE132465,Tumor_vs_Normal,Tumor,Normal,Fibroblast,M1_interstitial_pericellular_collagen,7,1.72379502667403,1.48988692838052,1.98418512133269,1.63071323109218,0.357543097771509,4.82122305651565,0.0224942712224497,1.42483680228376e-05,estimated,0.0543880189532544,module,M1,GSE132465 Fibroblast,True
GSE132465,Tumor_vs_Normal,Tumor,Normal,Fibroblast,M2_basement_membrane,7,0.137468940590013,-0.567381343019544,0.839156764301868,0.185243104272599,1.04315465341286,0.131781936782106,0.554113130069446,0.739251625583406,estimated,0.677249381195989,module,M2,GSE132465 Fibroblast,False
GSE132465,Tumor_vs_Normal,Tumor,Normal,Fibroblast,M3_matrix_organizing_glycoproteins,7,0.192955607011598,-0.317088811485369,0.755467280796865,0.117760668191658,0.806204643256419,0.239338248204838,0.799846105662473,0.549942516210987,estimated,0.799846105662473,module,M3,GSE132465 Fibroblast,False
