"dataset","contrast","case_condition","reference_condition","cell_class","feature","n_pairs","mean_paired_difference","bootstrap_CI_low","bootstrap_CI_high","median_paired_difference","paired_difference_sd","paired_Cohen_dz","Wilcoxon_p","paired_t_p_sensitivity","status","BH_FDR","score_type"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Epithelial","M1_interstitial_pericellular_collagen",8,0.581691029104233,-0.145149708739826,1.42273886668012,-0.00355258644676537,1.2174106647981,0.477810032328492,0.62406453246517,0.218595236771526,"estimated",0.833634883024682,"module"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Epithelial","M2_basement_membrane",8,1.40157405944892,0.823312506131986,1.94015801526582,1.60336818005395,0.858148862579513,1.63325283125811,0.0208625823327655,0.00242747060205766,"estimated",0.0764961352201402,"module"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Epithelial","M3_matrix_organizing_glycoproteins",8,-0.00730272337462784,-0.89743344361642,0.814449499085537,0.449444131735317,1.37380520146881,-0.00531569058467686,0.833634883024682,0.988423772070342,"estimated",0.833634883024682,"module"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Epithelial","M4_secreted_heparin_binding_factors",8,-0.462515012784971,-1.49402152714245,0.652332325702693,-0.442957850150741,1.6618845956428,-0.27830753952327,0.528612125255688,0.457000533874412,"estimated",0.830676196830367,"module"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Epithelial","ECM19_structural_gene_equal",8,0.933992522238501,0.356905136734482,1.65475160133774,0.542941286980034,1.00178291818194,0.932330253677643,0.0142661867014469,0.0335680720255656,"estimated",0.0764961352201402,"structural_core"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Epithelial","ECM21_gene_equal",8,0.802228987784763,0.173432546866207,1.60282450654985,0.347861144343603,1.10152122325627,0.728291902913365,0.058707408431205,0.0783742837833939,"estimated",0.107630248790543,"full_panel_gene_equal"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Epithelial","ECM21_minus_M1_interstitial_pericellular_collagen",8,0.903196730025234,0.30361368543807,1.71326087295751,0.673640768749645,1.11950019211968,0.806785685596983,0.042315274905714,0.0564749775569741,"estimated",0.0930936047925708,"leave_one_module_out"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Epithelial","ECM21_minus_M2_basement_membrane",8,0.261185720257617,-0.503747453523189,1.17893461025136,0.0492987226373249,1.34701198856799,0.193900071027046,0.833634883024682,0.600440734994903,"estimated",0.833634883024682,"leave_one_module_out"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Epithelial","ECM21_minus_M3_matrix_organizing_glycoproteins",8,0.92655164918361,0.31217970477063,1.64895538522857,0.564438315490119,1.05538108267206,0.877930886194897,0.0299739735865559,0.042015017248694,"estimated",0.0824284273630286,"leave_one_module_out"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Epithelial","ECM21_minus_M4_secreted_heparin_binding_factors",8,0.933992522238501,0.349185794778473,1.61412441715214,0.542941286980034,1.00178291818194,0.932330253677643,0.0142661867014469,0.0335680720255656,"estimated",0.0764961352201402,"leave_one_module_out"
