"patient","condition","group","n_cells"
"SMC01","Normal","Epithelial",159
"SMC02","Normal","Epithelial",119
"SMC03","Normal","Epithelial",65
"SMC04","Normal","Epithelial",169
"SMC06","Normal","Epithelial",23
"SMC07","Normal","Epithelial",128
"SMC09","Normal","Epithelial",189
"SMC10","Normal","Epithelial",125
"SMC01","Tumor","Epithelial",1093
"SMC02","Tumor","Epithelial",352
"SMC03","Tumor","Epithelial",796
"SMC04","Tumor","Epithelial",307
"SMC06","Tumor","Epithelial",189
"SMC07","Tumor","Epithelial",542
"SMC09","Tumor","Epithelial",1887
"SMC10","Tumor","Epithelial",511
"SMC01","Normal","Myeloid_cDC",22
"SMC02","Normal","Myeloid_cDC",5
"SMC03","Normal","Myeloid_cDC",2
"SMC04","Normal","Myeloid_cDC",29
"SMC06","Normal","Myeloid_cDC",19
"SMC07","Normal","Myeloid_cDC",4
"SMC09","Normal","Myeloid_cDC",12
"SMC10","Normal","Myeloid_cDC",20
"SMC01","Tumor","Myeloid_cDC",9
"SMC02","Tumor","Myeloid_cDC",31
"SMC03","Tumor","Myeloid_cDC",7
"SMC04","Tumor","Myeloid_cDC",30
"SMC06","Tumor","Myeloid_cDC",5
"SMC07","Tumor","Myeloid_cDC",32
"SMC09","Tumor","Myeloid_cDC",16
"SMC10","Tumor","Myeloid_cDC",19
"SMC01","Normal","Myeloid_Proinflammatory",9
"SMC02","Normal","Myeloid_Proinflammatory",5
"SMC03","Normal","Myeloid_Proinflammatory",1
"SMC04","Normal","Myeloid_Proinflammatory",5
"SMC06","Normal","Myeloid_Proinflammatory",4
"SMC07","Normal","Myeloid_Proinflammatory",7
"SMC09","Normal","Myeloid_Proinflammatory",2
"SMC10","Normal","Myeloid_Proinflammatory",17
"SMC01","Tumor","Myeloid_Proinflammatory",62
"SMC02","Tumor","Myeloid_Proinflammatory",249
"SMC03","Tumor","Myeloid_Proinflammatory",108
"SMC04","Tumor","Myeloid_Proinflammatory",400
"SMC06","Tumor","Myeloid_Proinflammatory",77
"SMC07","Tumor","Myeloid_Proinflammatory",72
"SMC09","Tumor","Myeloid_Proinflammatory",138
"SMC10","Tumor","Myeloid_Proinflammatory",128
"SMC01","Normal","Myeloid_SPP1pos",35
"SMC02","Normal","Myeloid_SPP1pos",10
"SMC03","Normal","Myeloid_SPP1pos",0
"SMC04","Normal","Myeloid_SPP1pos",28
"SMC06","Normal","Myeloid_SPP1pos",2
"SMC07","Normal","Myeloid_SPP1pos",17
"SMC09","Normal","Myeloid_SPP1pos",19
"SMC10","Normal","Myeloid_SPP1pos",30
"SMC01","Tumor","Myeloid_SPP1pos",64
"SMC02","Tumor","Myeloid_SPP1pos",293
"SMC03","Tumor","Myeloid_SPP1pos",188
"SMC04","Tumor","Myeloid_SPP1pos",345
"SMC06","Tumor","Myeloid_SPP1pos",122
"SMC07","Tumor","Myeloid_SPP1pos",140
"SMC09","Tumor","Myeloid_SPP1pos",204
"SMC10","Tumor","Myeloid_SPP1pos",398
"SMC01","Normal","Stromal_1",146
"SMC02","Normal","Stromal_1",43
"SMC03","Normal","Stromal_1",1
"SMC04","Normal","Stromal_1",149
"SMC06","Normal","Stromal_1",32
"SMC07","Normal","Stromal_1",167
"SMC09","Normal","Stromal_1",61
"SMC10","Normal","Stromal_1",240
"SMC01","Tumor","Stromal_1",5
"SMC02","Tumor","Stromal_1",3
"SMC03","Tumor","Stromal_1",1
"SMC04","Tumor","Stromal_1",1
"SMC06","Tumor","Stromal_1",1
"SMC07","Tumor","Stromal_1",11
"SMC09","Tumor","Stromal_1",1
"SMC10","Tumor","Stromal_1",19
"SMC01","Normal","Stromal_2",26
"SMC02","Normal","Stromal_2",29
"SMC03","Normal","Stromal_2",1
"SMC04","Normal","Stromal_2",27
"SMC06","Normal","Stromal_2",5
"SMC07","Normal","Stromal_2",31
"SMC09","Normal","Stromal_2",16
"SMC10","Normal","Stromal_2",65
"SMC01","Tumor","Stromal_2",19
"SMC02","Tumor","Stromal_2",17
"SMC03","Tumor","Stromal_2",0
"SMC04","Tumor","Stromal_2",5
"SMC06","Tumor","Stromal_2",0
"SMC07","Tumor","Stromal_2",27
"SMC09","Tumor","Stromal_2",1
"SMC10","Tumor","Stromal_2",7
"SMC01","Normal","Stromal_3",81
"SMC02","Normal","Stromal_3",43
"SMC03","Normal","Stromal_3",2
"SMC04","Normal","Stromal_3",136
"SMC06","Normal","Stromal_3",15
"SMC07","Normal","Stromal_3",118
"SMC09","Normal","Stromal_3",32
"SMC10","Normal","Stromal_3",236
"SMC01","Tumor","Stromal_3",0
"SMC02","Tumor","Stromal_3",2
"SMC03","Tumor","Stromal_3",101
"SMC04","Tumor","Stromal_3",1
"SMC06","Tumor","Stromal_3",1
"SMC07","Tumor","Stromal_3",2
"SMC09","Tumor","Stromal_3",0
"SMC10","Tumor","Stromal_3",3
