"test_ligand","auroc","aupr","aupr_corrected","pearson","donor_supported","max_pairs","max_median_difference","max_pooled_probability_difference","candidate_tier","DEG_definition"
"MDK",0.538438577057454,0.211042448482997,0.0256361870626044,0.0552163774068231,FALSE,8,0.759019282776193,0.0423864169858001,"tier2_directionally_concordant_exploratory","paired pseudobulk FDR<0.05 and logFC>0.25"
"TNF",0.527877359074535,0.209429782960208,0.0240235215398155,0.0551783201247461,FALSE,8,0.226818098724867,0.00173710195547645,"tier2_directionally_concordant_exploratory","paired pseudobulk FDR<0.05 and logFC>0.25"
"COL6A1",0.53579984463942,0.207826603822991,0.0224203424025985,0.0510564310244191,FALSE,8,0.579456231562933,0.0353239307081644,"tier2_directionally_concordant_exploratory","paired pseudobulk FDR<0.05 and logFC>0.25"
"LGALS9",0.536110526494712,0.206107972367513,0.0207017109471204,0.0483582429525802,FALSE,8,0.521235460802407,0.0152769586709644,"tier2_directionally_concordant_exploratory","paired pseudobulk FDR<0.05 and logFC>0.25"
"COL1A2",0.530912942856744,0.203851245283621,0.0184449838632289,0.0443794405941665,FALSE,8,0.92369646906487,0.055865060764164,"tier2_directionally_concordant_exploratory","paired pseudobulk FDR<0.05 and logFC>0.25"
"SEMA4A",0.534824566936812,0.207620135611996,0.0222138741916037,0.0429485901609948,FALSE,8,0.031075732400029,0.000298339172543961,"tier2_directionally_concordant_exploratory","paired pseudobulk FDR<0.05 and logFC>0.25"
"FN1",0.538296402280538,0.208659505304879,0.0232532438844868,0.0402917448741925,FALSE,8,0.407275875774884,0.0187140279701481,"tier2_directionally_concordant_exploratory","paired pseudobulk FDR<0.05 and logFC>0.25"
"COL3A1",0.52644814393629,0.20178270710473,0.0163764456843381,0.0379404979792303,FALSE,8,0.3770306301729,0.00883110924831673,"tier2_directionally_concordant_exploratory","paired pseudobulk FDR<0.05 and logFC>0.25"
"NRG1",0.540287340431658,0.211921671366051,0.0265154099456586,0.0346314175292449,FALSE,8,0.254258696778239,0.00078348247912703,"tier2_directionally_concordant_exploratory","paired pseudobulk FDR<0.05 and logFC>0.25"
"CD55",0.520236177162936,0.199399040984649,0.0139927795642567,0.0339222001543277,FALSE,8,0.0829414330373683,9.23961884034376e-05,"tier2_directionally_concordant_exploratory","paired pseudobulk FDR<0.05 and logFC>0.25"
"THBS1",0.526313731293014,0.200368840831953,0.0149625794115609,0.0315816002500968,FALSE,8,0.378468165135531,0.0272771854408241,"tier2_directionally_concordant_exploratory","paired pseudobulk FDR<0.05 and logFC>0.25"
"APP",0.527747269644929,0.207829098098271,0.0224228366778789,0.0288416510647431,FALSE,8,0.355349561688571,0.0318470270651463,"tier2_directionally_concordant_exploratory","paired pseudobulk FDR<0.05 and logFC>0.25"
"CLDN3",0.517524441386754,0.197897854870081,0.0124915934496889,0.0277248946298276,FALSE,8,0.384245322290949,0.0010280148900757,"tier2_directionally_concordant_exploratory","paired pseudobulk FDR<0.05 and logFC>0.25"
"TGM2",0.526694763625345,0.207083770628855,0.0216775092084631,0.0272288738688011,FALSE,8,0.291977267454553,0.00246717040442187,"tier2_directionally_concordant_exploratory","paired pseudobulk FDR<0.05 and logFC>0.25"
"COL1A1",0.527785294274277,0.20119561747204,0.0157893560516477,0.0264730507621125,FALSE,8,0.964456685359893,0.0641565085035105,"tier2_directionally_concordant_exploratory","paired pseudobulk FDR<0.05 and logFC>0.25"
"CD99",0.532339701623587,0.205524956175781,0.0201186947553887,0.0239732146880949,FALSE,8,0.278182696344219,0.0251989064417796,"tier2_directionally_concordant_exploratory","paired pseudobulk FDR<0.05 and logFC>0.25"
"MIF",0.530682142199541,0.1988594770175,0.0134532155971073,0.0127111279824317,FALSE,8,0.329470853316917,0.0246271765646221,"tier2_directionally_concordant_exploratory","paired pseudobulk FDR<0.05 and logFC>0.25"
"TNFSF12",0.525968856747761,0.19891418410396,0.0135079226835675,0.00236522277141931,FALSE,8,0.283473733523056,0.00315209150441103,"tier2_directionally_concordant_exploratory","paired pseudobulk FDR<0.05 and logFC>0.25"
"PLAU",0.527839727464613,0.193482436333058,0.00807617491266557,-0.0110384520714186,FALSE,8,0.59091887249049,0.0430513055561876,"tier2_directionally_concordant_exploratory","paired pseudobulk FDR<0.05 and logFC>0.25"
