"signature","gene","weight","role","locked_before_survival","pearson","aupr_corrected","candidate_tier","n_CellChat_edges","n_donor_supported_edges","max_paired_donor_median_difference","max_pooled_CellChat_probability_difference","evidence_is_descriptive","membership_changed_by_current_data","interpretation"
"ECM_LIGAND_21","COL1A1",0.0476190476190476,"extracellular_matrix_or_growth_factor_ligand",TRUE,0.0264730507621125,0.0157893560516477,"tier2_directionally_concordant_exploratory",66,0,0.964456685359893,0.0641565085035105,TRUE,FALSE,"Evidence columns describe support; they did not select or reweight signature genes."
"ECM_LIGAND_21","COL1A2",0.0476190476190476,"extracellular_matrix_or_growth_factor_ligand",TRUE,0.0443794405941665,0.0184449838632289,"tier2_directionally_concordant_exploratory",66,0,0.92369646906487,0.055865060764164,TRUE,FALSE,"Evidence columns describe support; they did not select or reweight signature genes."
"ECM_LIGAND_21","COL4A1",0.0476190476190476,"extracellular_matrix_or_growth_factor_ligand",TRUE,,,"",72,0,0.399231482397229,0.0190667919495337,TRUE,FALSE,"Evidence columns describe support; they did not select or reweight signature genes."
"ECM_LIGAND_21","COL4A2",0.0476190476190476,"extracellular_matrix_or_growth_factor_ligand",TRUE,,,"",72,0,0.332342142942726,0.0195737866206629,TRUE,FALSE,"Evidence columns describe support; they did not select or reweight signature genes."
"ECM_LIGAND_21","COL4A5",0.0476190476190476,"extracellular_matrix_or_growth_factor_ligand",TRUE,,,"",72,0,0.110270016414252,0.00211106049498176,TRUE,FALSE,"Evidence columns describe support; they did not select or reweight signature genes."
"ECM_LIGAND_21","COL6A1",0.0476190476190476,"extracellular_matrix_or_growth_factor_ligand",TRUE,0.0510564310244191,0.0224203424025985,"tier2_directionally_concordant_exploratory",66,0,0.579456231562933,0.0353239307081644,TRUE,FALSE,"Evidence columns describe support; they did not select or reweight signature genes."
"ECM_LIGAND_21","COL6A2",0.0476190476190476,"extracellular_matrix_or_growth_factor_ligand",TRUE,,,"",66,0,0.613912155388817,0.0375130322598678,TRUE,FALSE,"Evidence columns describe support; they did not select or reweight signature genes."
"ECM_LIGAND_21","COL6A3",0.0476190476190476,"extracellular_matrix_or_growth_factor_ligand",TRUE,,,"",66,0,0.705455807830564,0.0308901021575133,TRUE,FALSE,"Evidence columns describe support; they did not select or reweight signature genes."
"ECM_LIGAND_21","FN1",0.0476190476190476,"extracellular_matrix_or_growth_factor_ligand",TRUE,0.0402917448741925,0.0232532438844868,"tier2_directionally_concordant_exploratory",78,0,0.407275875774884,0.0187140279701481,TRUE,FALSE,"Evidence columns describe support; they did not select or reweight signature genes."
"ECM_LIGAND_21","LAMA4",0.0476190476190476,"extracellular_matrix_or_growth_factor_ligand",TRUE,,,"",78,0,0.32497054038199,0.016200683902072,TRUE,FALSE,"Evidence columns describe support; they did not select or reweight signature genes."
"ECM_LIGAND_21","LAMA5",0.0476190476190476,"extracellular_matrix_or_growth_factor_ligand",TRUE,,,"",78,0,0.0162224342491505,0,TRUE,FALSE,"Evidence columns describe support; they did not select or reweight signature genes."
"ECM_LIGAND_21","LAMB1",0.0476190476190476,"extracellular_matrix_or_growth_factor_ligand",TRUE,,,"",78,0,0.316642441460283,0.0100488956785345,TRUE,FALSE,"Evidence columns describe support; they did not select or reweight signature genes."
"ECM_LIGAND_21","LAMB2",0.0476190476190476,"extracellular_matrix_or_growth_factor_ligand",TRUE,,,"",78,0,0.186836110635098,0.00411896256141636,TRUE,FALSE,"Evidence columns describe support; they did not select or reweight signature genes."
"ECM_LIGAND_21","LAMC1",0.0476190476190476,"extracellular_matrix_or_growth_factor_ligand",TRUE,,,"",78,0,0.266357612682579,0.0116610360081537,TRUE,FALSE,"Evidence columns describe support; they did not select or reweight signature genes."
"ECM_LIGAND_21","THBS1",0.0476190476190476,"extracellular_matrix_or_growth_factor_ligand",TRUE,0.0315816002500968,0.0149625794115609,"tier2_directionally_concordant_exploratory",36,0,0.378468165135531,0.0272771854408241,TRUE,FALSE,"Evidence columns describe support; they did not select or reweight signature genes."
"ECM_LIGAND_21","THBS2",0.0476190476190476,"extracellular_matrix_or_growth_factor_ligand",TRUE,,,"",36,0,0.802646279758712,0.0210978092080212,TRUE,FALSE,"Evidence columns describe support; they did not select or reweight signature genes."
"ECM_LIGAND_21","HSPG2",0.0476190476190476,"extracellular_matrix_or_growth_factor_ligand",TRUE,,,"",6,0,0.109309762353972,0.000626454281514516,TRUE,FALSE,"Evidence columns describe support; they did not select or reweight signature genes."
"ECM_LIGAND_21","TNC",0.0476190476190476,"extracellular_matrix_or_growth_factor_ligand",TRUE,,,"",42,0,0.447903341369258,0.00523745706620724,TRUE,FALSE,"Evidence columns describe support; they did not select or reweight signature genes."
"ECM_LIGAND_21","TNXB",0.0476190476190476,"extracellular_matrix_or_growth_factor_ligand",TRUE,,,"",42,0,0.0617930360068088,0,TRUE,FALSE,"Evidence columns describe support; they did not select or reweight signature genes."
"ECM_LIGAND_21","PTN",0.0476190476190476,"extracellular_matrix_or_growth_factor_ligand",TRUE,,,"",42,0,0.0490550302793863,0,TRUE,FALSE,"Evidence columns describe support; they did not select or reweight signature genes."
"ECM_LIGAND_21","MDK",0.0476190476190476,"extracellular_matrix_or_growth_factor_ligand",TRUE,0.0552163774068231,0.0256361870626044,"tier2_directionally_concordant_exploratory",48,0,0.759019282776193,0.0423864169858001,TRUE,FALSE,"Evidence columns describe support; they did not select or reweight signature genes."
