"gene","logFC","logCPM","F","PValue","FDR","pct_tumor_cells_descriptive","pct_normal_cells_descriptive","experimental_unit","is_cell_cycle_like"
"AQP8",-8.3435395985976,6.51872193016663,366.563033607155,8.48551797567198e-12,6.8150870454868e-08,0.00405143561740356,0.229273285568066,"paired_patient_pseudobulk",FALSE
"ETV4",4.05813423118127,4.72276980067791,281.560797653611,1.09479309967659e-11,6.8150870454868e-08,0.42152545358464,0.0255885363357216,"paired_patient_pseudobulk",FALSE
"EDIL3",-6.35291121605962,2.54410984638821,237.197542480236,1.6604397503997e-11,6.89082496415874e-08,0.00299453936938524,0.113613101330604,"paired_patient_pseudobulk",FALSE
"TMIGD1",-7.72067753947813,1.66542790667604,227.989812948969,2.72343377083471e-11,8.47668761172303e-08,0.00052844812400916,0.0511770726714432,"paired_patient_pseudobulk",FALSE
"GUCA2B",-10.0961043273521,10.1296073290394,252.657746815337,1.18478997564991e-10,2.31532718838287e-07,0.0160295930949445,0.526100307062436,"paired_patient_pseudobulk",FALSE
"SLC29A1",3.48832408083532,3.68193058654065,184.946976143672,1.24356461574008e-10,2.31532718838287e-07,0.273031530738066,0.015353121801433,"paired_patient_pseudobulk",FALSE
"BMP4",5.82937410628249,4.37284394434563,167.234448399068,1.30179038704258e-10,2.31532718838287e-07,0.304033820679937,0.00614124872057318,"paired_patient_pseudobulk",FALSE
"WDR24",3.08508298211928,3.95359539771043,187.831769862105,1.62900483890719e-10,2.53513878054931e-07,0.303153073806588,0.0214943705220061,"paired_patient_pseudobulk",FALSE
"PYY",-13.5278159109985,7.71504778103174,469.766338711242,2.12970372642417e-10,2.94609015488676e-07,0.00035229874933944,0.0337768679631525,"paired_patient_pseudobulk",FALSE
"CRNDE",5.20330912428869,4.17554709171153,157.880364948789,2.50468896466259e-10,2.96364011924148e-07,0.391932358640127,0.00818833162743091,"paired_patient_pseudobulk",FALSE
"CLCA4",-8.60104290262893,5.40964060595001,175.271260155961,2.61847721378765e-10,2.96364011924148e-07,0.00246609124537608,0.228249744114637,"paired_patient_pseudobulk",FALSE
"SPIB",-7.74000225505244,5.83552062236782,284.638883735823,3.34758121357338e-10,3.47311550908238e-07,0.0070459749867888,0.24360286591607,"paired_patient_pseudobulk",FALSE
"TESC",5.63778368683047,4.86771366732755,158.536079658743,4.65377956601383e-10,4.45688889206709e-07,0.351418002466091,0.00921187308085977,"paired_patient_pseudobulk",FALSE
"PHGDH",4.45448955349053,4.89428614227278,160.372955215105,5.10020547059922e-10,4.53553986492574e-07,0.374493570547825,0.0143295803480041,"paired_patient_pseudobulk",FALSE
"SPINK2",-5.13189218422146,2.25982412141236,210.468414587291,6.58938937971612e-10,5.46919318516438e-07,0.0070459749867888,0.0818833162743091,"paired_patient_pseudobulk",FALSE
"RARRES2",-4.82265409572876,6.87006812274171,234.813014132501,1.04667986946159e-09,7.50502058859831e-07,0.121190769772767,0.415557830092119,"paired_patient_pseudobulk",FALSE
"FXYD5",4.26368497901259,6.70851077605116,209.599946328789,1.08304978378905e-09,7.50502058859831e-07,0.764840584815924,0.0747185261003071,"paired_patient_pseudobulk",FALSE
"LY6E",4.40499206514196,7.01328857190991,223.927569544281,1.08506321762867e-09,7.50502058859831e-07,0.780870177910868,0.067553735926305,"paired_patient_pseudobulk",FALSE
"CWH43",-7.26737495409011,3.08661001735331,121.055116252669,1.48072939752423e-09,9.702674210093e-07,0.00281838999471552,0.148413510747185,"paired_patient_pseudobulk",FALSE
"S100A9",4.45802303281474,4.10771142085767,134.483963788558,1.79405726495138e-09,1.06838163639852e-06,0.25805883389114,0.0122824974411464,"paired_patient_pseudobulk",FALSE
"GCG",-11.7898705848657,5.57610875204978,504.15682594856,1.80208950717823e-09,1.06838163639852e-06,0.00017614937466972,0.0102354145342886,"paired_patient_pseudobulk",FALSE
"SLC28A2",-6.13372874918632,3.60751298791699,146.073683903834,1.99987319899897e-09,1.13174642397896e-06,0.004403734366743,0.136131013306039,"paired_patient_pseudobulk",FALSE
"PARVB",4.63528927411595,4.07102786522783,100.384464500282,2.46516425287001e-09,1.33440412818399e-06,0.31442663378545,0.00921187308085977,"paired_patient_pseudobulk",FALSE
"ADAMDEC1",-5.17259578285753,3.01099837387642,144.318950301347,2.95931605313985e-09,1.5351452025663e-06,0.00863131935881628,0.17093142272262,"paired_patient_pseudobulk",FALSE
"CHGA",-11.7662128897194,6.6578314052691,164.295590877353,3.6841016376732e-09,1.83468261556125e-06,0.00052844812400916,0.0184237461617195,"paired_patient_pseudobulk",FALSE
"PITX1",4.45490476099298,4.1842433794421,115.226122522626,4.17207646797303e-09,1.99555411077717e-06,0.347190417474018,0.0122824974411464,"paired_patient_pseudobulk",FALSE
"IFITM3",2.54192420066539,9.05197935408128,186.358728126198,4.32770771011917e-09,1.99555411077717e-06,0.947507486348423,0.445240532241556,"paired_patient_pseudobulk",FALSE
"MMP7",10.6685085832311,6.49287899392646,406.135375310704,5.0853084568639e-09,2.2611460817127e-06,0.264752510128589,0.00102354145342886,"paired_patient_pseudobulk",FALSE
"GPT",-4.8513202195636,4.01199655736276,168.930661391465,8.48113315796078e-09,3.53233819343401e-06,0.0214902237097058,0.221084953940635,"paired_patient_pseudobulk",FALSE
"FCGBP",-5.7924318139458,7.54217738781682,167.488043440955,8.51165829743134e-09,3.53233819343401e-06,0.0473841817861547,0.325486182190379,"paired_patient_pseudobulk",FALSE
