gene,logFC,median_logFC,AveExpr,n_pairs_observed,n_tumor_higher,n_tumor_lower,t,P.Value,adj.P.Val,B,contrast,analysis_scope,source_warning,inference_note,delta_SEV13,delta_SEV14,detected_signature_count,total_signature_count,coverage,author_DEP_classification
"COL1A1",-2.51599572160679,-2.51599572160679,26.9417316635252,2,0,2,NA,NA,NA,NA,"strict_source_aligned_two_pairs_Tumor_vs_Normal","strict_source_aligned_two_pairs","none","mean paired log2-abundance difference; descriptive only; no limma P value fitted at this sample size",-1.21553104877593,-3.81646039443765,19,21,0.904761904761905,"Normal_enriched_DEP"
"COL1A2",-1.63345945115769,-1.63345945115769,26.723612831325,2,0,2,NA,NA,NA,NA,"strict_source_aligned_two_pairs_Tumor_vs_Normal","strict_source_aligned_two_pairs","none","mean paired log2-abundance difference; descriptive only; no limma P value fitted at this sample size",-0.303322852302635,-2.96359605001275,19,21,0.904761904761905,"Normal_enriched_DEP"
"COL4A1",-1.75607382429708,-1.75607382429708,21.5785621016773,2,0,2,NA,NA,NA,NA,"strict_source_aligned_two_pairs_Tumor_vs_Normal","strict_source_aligned_two_pairs","none","mean paired log2-abundance difference; descriptive only; no limma P value fitted at this sample size",-1.24216253497814,-2.26998511361602,19,21,0.904761904761905,"Normal_enriched_DEP"
"COL4A2",-0.61746591312321,-0.61746591312321,22.3565339646694,2,0,2,NA,NA,NA,NA,"strict_source_aligned_two_pairs_Tumor_vs_Normal","strict_source_aligned_two_pairs","none","mean paired log2-abundance difference; descriptive only; no limma P value fitted at this sample size",-0.0291728823832145,-1.20575894386321,19,21,0.904761904761905,"Normal_enriched_DEP"
"COL4A5",-0.429729172509186,-0.429729172509186,14.6848924950937,2,1,1,NA,NA,NA,NA,"strict_source_aligned_two_pairs_Tumor_vs_Normal","strict_source_aligned_two_pairs","none","mean paired log2-abundance difference; descriptive only; no limma P value fitted at this sample size",0.0425750065843449,-0.902033351602716,19,21,0.904761904761905,"Not_author_reported_DEP"
"COL6A1",-2.08545873487732,-2.08545873487732,26.5280715617738,2,0,2,NA,NA,NA,NA,"strict_source_aligned_two_pairs_Tumor_vs_Normal","strict_source_aligned_two_pairs","none","mean paired log2-abundance difference; descriptive only; no limma P value fitted at this sample size",-1.74315903222034,-2.4277584375343,19,21,0.904761904761905,"Normal_enriched_DEP"
"COL6A2",-2.17224955355277,-2.17224955355277,26.3848894353521,2,0,2,NA,NA,NA,NA,"strict_source_aligned_two_pairs_Tumor_vs_Normal","strict_source_aligned_two_pairs","none","mean paired log2-abundance difference; descriptive only; no limma P value fitted at this sample size",-1.83843089096334,-2.50606821614219,19,21,0.904761904761905,"Normal_enriched_DEP"
"COL6A3",-2.0956353879711,-2.0956353879711,28.2013393515297,2,0,2,NA,NA,NA,NA,"strict_source_aligned_two_pairs_Tumor_vs_Normal","strict_source_aligned_two_pairs","none","mean paired log2-abundance difference; descriptive only; no limma P value fitted at this sample size",-1.71962314337006,-2.47164763257213,19,21,0.904761904761905,"Normal_enriched_DEP"
"FN1",0.707647769611176,0.707647769611176,24.6075030796677,2,2,0,NA,NA,NA,NA,"strict_source_aligned_two_pairs_Tumor_vs_Normal","strict_source_aligned_two_pairs","none","mean paired log2-abundance difference; descriptive only; no limma P value fitted at this sample size",0.897524312851896,0.517771226370456,19,21,0.904761904761905,"Tumor_enriched_DEP"
"LAMA4",-1.83643833181768,-1.83643833181768,22.1468803336874,2,0,2,NA,NA,NA,NA,"strict_source_aligned_two_pairs_Tumor_vs_Normal","strict_source_aligned_two_pairs","none","mean paired log2-abundance difference; descriptive only; no limma P value fitted at this sample size",-1.42802314999133,-2.24485351364402,19,21,0.904761904761905,"Normal_enriched_DEP"
"LAMA5",-2.32593668987614,-2.32593668987614,22.1310790437015,2,0,2,NA,NA,NA,NA,"strict_source_aligned_two_pairs_Tumor_vs_Normal","strict_source_aligned_two_pairs","none","mean paired log2-abundance difference; descriptive only; no limma P value fitted at this sample size",-1.82499869585027,-2.82687468390201,19,21,0.904761904761905,"Normal_enriched_DEP"
"LAMB1",-1.05094645148373,-1.05094645148373,21.6723984899378,2,0,2,NA,NA,NA,NA,"strict_source_aligned_two_pairs_Tumor_vs_Normal","strict_source_aligned_two_pairs","none","mean paired log2-abundance difference; descriptive only; no limma P value fitted at this sample size",-0.681241211544094,-1.42065169142336,19,21,0.904761904761905,"Normal_enriched_DEP"
"LAMB2",-3.23110418578974,-3.23110418578974,21.938039913627,2,0,2,NA,NA,NA,NA,"strict_source_aligned_two_pairs_Tumor_vs_Normal","strict_source_aligned_two_pairs","none","mean paired log2-abundance difference; descriptive only; no limma P value fitted at this sample size",-2.76232326446607,-3.69988510711341,19,21,0.904761904761905,"Normal_enriched_DEP"
"LAMC1",-2.27580932890709,-2.27580932890709,22.6281492898305,2,0,2,NA,NA,NA,NA,"strict_source_aligned_two_pairs_Tumor_vs_Normal","strict_source_aligned_two_pairs","none","mean paired log2-abundance difference; descriptive only; no limma P value fitted at this sample size",-1.80063510080781,-2.75098355700637,19,21,0.904761904761905,"Normal_enriched_DEP"
"THBS1",0.773748705478958,0.773748705478958,18.565116284475,2,2,0,NA,NA,NA,NA,"strict_source_aligned_two_pairs_Tumor_vs_Normal","strict_source_aligned_two_pairs","none","mean paired log2-abundance difference; descriptive only; no limma P value fitted at this sample size",0.951882592748284,0.595614818209633,19,21,0.904761904761905,"Not_author_reported_DEP"
"THBS2",1.7371093857676,1.7371093857676,16.1870823719193,2,2,0,NA,NA,NA,NA,"strict_source_aligned_two_pairs_Tumor_vs_Normal","strict_source_aligned_two_pairs","none","mean paired log2-abundance difference; descriptive only; no limma P value fitted at this sample size",1.49516157911494,1.97905719242026,19,21,0.904761904761905,"Tumor_enriched_DEP"
