gene,present_in_workbook,finite_tissue_channels,total_tissue_channels,detected_for_scoring,overall_coverage,minimum_required,passes_prespecified_gate
"COL1A1",TRUE,32,32,TRUE,0.904761904761905,0.7,TRUE
"COL1A2",TRUE,32,32,TRUE,0.904761904761905,0.7,TRUE
"COL4A1",TRUE,32,32,TRUE,0.904761904761905,0.7,TRUE
"COL4A2",TRUE,32,32,TRUE,0.904761904761905,0.7,TRUE
"COL4A5",TRUE,32,32,TRUE,0.904761904761905,0.7,TRUE
"COL6A1",TRUE,32,32,TRUE,0.904761904761905,0.7,TRUE
"COL6A2",TRUE,32,32,TRUE,0.904761904761905,0.7,TRUE
"COL6A3",TRUE,32,32,TRUE,0.904761904761905,0.7,TRUE
"FN1",TRUE,32,32,TRUE,0.904761904761905,0.7,TRUE
"LAMA4",TRUE,32,32,TRUE,0.904761904761905,0.7,TRUE
"LAMA5",TRUE,32,32,TRUE,0.904761904761905,0.7,TRUE
"LAMB1",TRUE,32,32,TRUE,0.904761904761905,0.7,TRUE
"LAMB2",TRUE,32,32,TRUE,0.904761904761905,0.7,TRUE
"LAMC1",TRUE,32,32,TRUE,0.904761904761905,0.7,TRUE
"THBS1",TRUE,32,32,TRUE,0.904761904761905,0.7,TRUE
"THBS2",TRUE,32,32,TRUE,0.904761904761905,0.7,TRUE
"HSPG2",TRUE,32,32,TRUE,0.904761904761905,0.7,TRUE
"TNC",TRUE,32,32,TRUE,0.904761904761905,0.7,TRUE
"TNXB",TRUE,32,32,TRUE,0.904761904761905,0.7,TRUE
"PTN",FALSE,0,32,FALSE,0.904761904761905,0.7,TRUE
"MDK",FALSE,0,32,FALSE,0.904761904761905,0.7,TRUE
