gsm,sample,group,matrix_column,score,signature_coverage
"GSM2440829","N1","Normal","N1",0.0603360022997628,1
"GSM2440830","N2","Normal","N2",-0.210688339764264,1
"GSM2440831","N3","Normal","N3",0.0615184403066713,1
"GSM2440826","CO2","Colitis","CO2",0.297734718664903,1
"GSM2440827","CO4","Colitis","CO4",0.441767180440132,1
"GSM2440828","CO5","Colitis","CO5",-0.700041541962354,1
"GSM2440822","CA1","Cancer","CA1",0.0223702302776113,1
"GSM2440823","CA2","Cancer","CA2",-0.410548905496392,1
"GSM2440824","CA3","Cancer","CA3",0.0613818397606691,1
"GSM2440825","CA4","Cancer","CA4",0.37617037547326,1
