analysis,section,grid_size,occupied_blocks,median_epithelial_bins_per_block,observed_block_spearman_rho,valid_nonzero_toroidal_shifts,minimum_overlap_blocks_across_shifts,one_sided_add_one_shift_p,null_rho_median,null_rho_95pct_low,null_rho_95pct_high,limitation
Primary broad definition,P1CRC,8,48,450.0,0.7606046628035152,63,32,0.015625,-0.02213784675412393,-0.5148402711839579,0.6281801125703562,"Coarse-grid toroidal shifts preserve gridded autocorrelation but wrap tissue boundaries; this is a sensitivity analysis, not patient-level inference."
Primary broad definition,P1CRC,12,94,225.0,0.6706214780681258,143,48,0.020833333333333332,-0.11314873930598135,-0.4123943089773529,0.600343468804367,"Coarse-grid toroidal shifts preserve gridded autocorrelation but wrap tissue boundaries; this is a sensitivity analysis, not patient-level inference."
Primary broad definition,P1CRC,16,153,144.0,0.620635927429006,255,62,0.0234375,-0.11795733398731702,-0.446968404706192,0.609374022113541,"Coarse-grid toroidal shifts preserve gridded autocorrelation but wrap tissue boundaries; this is a sensitivity analysis, not patient-level inference."
Primary broad definition,P2CRC,8,55,374.0,0.7118326118326119,63,46,0.015625,-0.030527289546715998,-0.3652173913043478,0.4461044138990863,"Coarse-grid toroidal shifts preserve gridded autocorrelation but wrap tissue boundaries; this is a sensitivity analysis, not patient-level inference."
Primary broad definition,P2CRC,12,114,197.5,0.711492274356534,143,84,0.006944444444444444,-0.041334695267279536,-0.29102723999595065,0.45768534879870315,"Coarse-grid toroidal shifts preserve gridded autocorrelation but wrap tissue boundaries; this is a sensitivity analysis, not patient-level inference."
Primary broad definition,P2CRC,16,192,114.5,0.5767497968618259,255,130,0.00390625,-0.028457129209457848,-0.20850826418369164,0.4029374781499152,"Coarse-grid toroidal shifts preserve gridded autocorrelation but wrap tissue boundaries; this is a sensitivity analysis, not patient-level inference."
Primary broad definition,P5CRC,8,48,484.0,0.7521441798749956,63,33,0.03125,-0.05504587169462227,-0.6201297486862047,0.6008530738401883,"Coarse-grid toroidal shifts preserve gridded autocorrelation but wrap tissue boundaries; this is a sensitivity analysis, not patient-level inference."
Primary broad definition,P5CRC,12,102,207.0,0.7376361356894604,143,64,0.020833333333333332,-0.06955446685253157,-0.5410630035825504,0.6364743099315754,"Coarse-grid toroidal shifts preserve gridded autocorrelation but wrap tissue boundaries; this is a sensitivity analysis, not patient-level inference."
Primary broad definition,P5CRC,16,170,124.0,0.7104175382902869,255,96,0.01953125,-0.06382274883020399,-0.5654434686882844,0.655595533263425,"Coarse-grid toroidal shifts preserve gridded autocorrelation but wrap tissue boundaries; this is a sensitivity analysis, not patient-level inference."
Strict exclusion of pericytes,P1CRC,8,48,450.0,0.7853013816771038,63,32,0.015625,-0.08179798779482525,-0.5270853009634957,0.6242964352720447,"Coarse-grid toroidal shifts preserve gridded autocorrelation but wrap tissue boundaries; this is a sensitivity analysis, not patient-level inference."
Strict exclusion of pericytes,P1CRC,12,94,225.0,0.6548046611102849,143,48,0.020833333333333332,-0.12282376521903722,-0.43502531565967945,0.5774012028884788,"Coarse-grid toroidal shifts preserve gridded autocorrelation but wrap tissue boundaries; this is a sensitivity analysis, not patient-level inference."
Strict exclusion of pericytes,P1CRC,16,153,144.0,0.6299211558632523,255,62,0.015625,-0.1206474457361553,-0.4388260878901702,0.6052374573351403,"Coarse-grid toroidal shifts preserve gridded autocorrelation but wrap tissue boundaries; this is a sensitivity analysis, not patient-level inference."
Strict exclusion of pericytes,P2CRC,8,55,383.0,0.6683982683982685,63,46,0.015625,-0.0121580547112462,-0.34957755164970705,0.41458447878425664,"Coarse-grid toroidal shifts preserve gridded autocorrelation but wrap tissue boundaries; this is a sensitivity analysis, not patient-level inference."
Strict exclusion of pericytes,P2CRC,12,114,198.0,0.698548024543853,143,84,0.006944444444444444,-0.025885922768486076,-0.31312102648471335,0.44173040289152193,"Coarse-grid toroidal shifts preserve gridded autocorrelation but wrap tissue boundaries; this is a sensitivity analysis, not patient-level inference."
Strict exclusion of pericytes,P2CRC,16,194,114.0,0.6038475919678846,255,134,0.00390625,-0.018639738712027974,-0.2514862244254021,0.4188962158531125,"Coarse-grid toroidal shifts preserve gridded autocorrelation but wrap tissue boundaries; this is a sensitivity analysis, not patient-level inference."
Strict exclusion of pericytes,P5CRC,8,47,477.0,0.7561285846438482,63,30,0.03125,-0.08306451612903226,-0.7084612422681681,0.5300415282392026,"Coarse-grid toroidal shifts preserve gridded autocorrelation but wrap tissue boundaries; this is a sensitivity analysis, not patient-level inference."
Strict exclusion of pericytes,P5CRC,12,100,222.0,0.7490309030903091,143,59,0.013888888888888888,-0.0724510440126732,-0.6185175700595221,0.6171410820383229,"Coarse-grid toroidal shifts preserve gridded autocorrelation but wrap tissue boundaries; this is a sensitivity analysis, not patient-level inference."
Strict exclusion of pericytes,P5CRC,16,169,129.0,0.7024335792383812,255,93,0.015625,-0.043917260817488736,-0.6087270191414376,0.62165035739378,"Coarse-grid toroidal shifts preserve gridded autocorrelation but wrap tissue boundaries; this is a sensitivity analysis, not patient-level inference."
