cohort_split,time,n_risk,n_event,n_censor,survival,lower,upper,risk_group
Discovery,1.0,205,1,2,0.9951219512195122,0.9856300576097333,1.0,Low
Discovery,2.0,202,1,1,0.9901956049263463,0.976766004933785,1.0,Low
Discovery,3.0,200,2,0,0.9802936488770828,0.9613573626691423,0.9996029315890013,Low
Discovery,4.0,198,4,0,0.9604897367785559,0.9340273269644974,0.9877018667699061,Low
Discovery,5.0,194,1,0,0.9555387587539241,0.9275606730911529,0.9843607496188691,Low
Discovery,6.0,193,1,1,0.9505877807292924,0.9211911487055859,0.980922504674042,Low
Discovery,7.0,191,1,2,0.9456108813537464,0.914864741733523,0.9773903159064591,Low
Discovery,8.0,188,1,0,0.9405810362401625,0.9085313764390076,0.9737612906690956,Low
Discovery,9.0,187,3,1,0.9254915008994113,0.8899119510350886,0.9624935559532367,Low
Discovery,10.0,183,1,0,0.9204341702934036,0.8837715576522134,0.9586177044374862,Low
Discovery,11.0,182,3,1,0.9052621784753804,0.8656123314489403,0.9467282084651436,Low
Discovery,12.0,178,0,2,0.9052621784753804,0.8656123314489403,0.9467282084651436,Low
Discovery,13.0,176,2,0,0.8949751082654329,0.8534527456728004,0.9385176255813534,Low
Discovery,14.0,174,0,3,0.8949751082654329,0.8534527456728004,0.9385176255813534,Low
Discovery,15.0,171,2,4,0.8845075631395214,0.841179513483848,0.9300673836085249,Low
Discovery,16.0,165,1,2,0.8791469112417061,0.8349168710922554,0.9257200546621001,Low
Discovery,17.0,162,0,1,0.8791469112417061,0.8349168710922554,0.9257200546621001,Low
Discovery,19.0,161,3,2,0.8627652917775749,0.8159122328714223,0.9123088473332726,Low
Discovery,20.0,156,1,3,0.857234745035411,0.809543843414856,0.9077351573648453,Low
Discovery,21.0,152,2,0,0.8459553404954713,0.7966012873762984,0.8983671624105154,Low
Discovery,22.0,150,1,1,0.8403156382255015,0.7901732857502024,0.8936398946668022,Low
Discovery,23.0,148,1,0,0.834637829859113,0.7837217126330234,0.8888618189376629,Low
Discovery,24.0,147,1,1,0.8289600214927244,0.7772965414365655,0.8840573456858716,Low
Discovery,25.0,145,1,2,0.8232430558272573,0.7708451489228662,0.8792026905985199,Low
Discovery,26.0,142,0,3,0.8232430558272573,0.7708451489228662,0.8792026905985199,Low
Discovery,27.0,139,1,2,0.817320443914831,0.7641483118442138,0.8741924802908202,Low
Discovery,28.0,136,1,0,0.8113107347683985,0.7573641615086554,0.8690998885387796,Low
Discovery,29.0,135,0,2,0.8113107347683985,0.7573641615086554,0.8690998885387796,Low
Discovery,30.0,133,0,1,0.8113107347683985,0.7573641615086554,0.8690998885387796,Low
Discovery,33.0,132,0,1,0.8113107347683985,0.7573641615086554,0.8690998885387796,Low
Discovery,35.0,131,0,3,0.8113107347683985,0.7573641615086554,0.8690998885387796,Low
Discovery,36.0,128,1,3,0.8049723696530204,0.7501736631801106,0.8637740135502786,Low
