cohort_split,time,n_risk,events_through_time,censors_through_time,risk_group
Discovery,0.0,205,0,0,Low
Discovery,25.0,145,34,29,Low
Discovery,50.0,98,44,67,Low
Discovery,75.0,55,46,105,Low
Discovery,100.0,21,46,138,Low
Discovery,125.0,9,46,150,Low
Discovery,150.0,3,46,156,Low
Discovery,175.0,2,46,157,Low
Discovery,200.0,0,46,159,Low
Discovery,0.0,205,0,0,High
Discovery,25.0,133,49,28,High
Discovery,50.0,88,61,58,High
Discovery,75.0,51,66,91,High
Discovery,100.0,21,68,116,High
Discovery,125.0,13,69,123,High
Discovery,150.0,8,69,128,High
Discovery,175.0,2,69,134,High
Discovery,200.0,1,69,135,High
Validation,0.0,40,0,0,Low
Validation,25.0,30,7,3,Low
Validation,50.0,25,9,6,Low
Validation,75.0,14,9,19,Low
Validation,100.0,7,9,25,Low
Validation,125.0,4,9,28,Low
Validation,150.0,0,9,31,Low
Validation,175.0,0,9,31,Low
Validation,200.0,0,9,31,Low
Validation,0.0,69,0,0,High
Validation,25.0,47,19,3,High
Validation,50.0,38,21,10,High
Validation,75.0,23,21,26,High
Validation,100.0,8,21,40,High
Validation,125.0,5,21,43,High
Validation,150.0,0,21,48,High
Validation,175.0,0,21,48,High
Validation,200.0,0,21,48,High
