n_event_existing,risk_group,n_risk_existing,survival_existing,time,cohort_split,n_event_reconstructed,n_risk_reconstructed,survival_reconstructed,_merge,n_risk_match,n_event_match,survival_abs_difference,pass
1,High,205,0.995121951219512,1,Discovery,1,205,0.9951219512195122,both,True,True,2.220446049250313e-16,True
2,High,202,0.98526925863318,2,Discovery,2,202,0.9852692586331804,both,True,True,3.3306690738754696e-16,True
4,High,198,0.965364829165843,3,Discovery,4,198,0.9653648291658434,both,True,True,4.440892098500626e-16,True
3,High,194,0.950436507065341,4,Discovery,3,194,0.9504365070653408,both,True,True,2.220446049250313e-16,True
3,High,191,0.935508184964838,5,Discovery,3,191,0.9355081849648381,both,True,True,1.1102230246251565e-16,True
4,High,185,0.915280980965598,6,Discovery,4,185,0.9152809809655984,both,True,True,4.440892098500626e-16,True
1,High,181,0.910224179965789,7,Discovery,1,181,0.9102241799657885,both,True,True,4.440892098500626e-16,True
5,High,177,0.884511632509128,9,Discovery,5,177,0.8845116325091279,both,True,True,1.1102230246251565e-16,True
2,High,171,0.874166467216623,10,Discovery,2,171,0.8741664672166235,both,True,True,4.440892098500626e-16,True
1,High,168,0.868963095387953,11,Discovery,1,168,0.8689630953879531,both,True,True,1.1102230246251565e-16,True
2,High,167,0.858556351730612,12,Discovery,2,167,0.8585563517306124,both,True,True,4.440892098500626e-16,True
2,High,164,0.848086152319263,13,Discovery,2,164,0.8480861523192634,both,True,True,4.440892098500626e-16,True
4,High,161,0.827015688907605,14,Discovery,4,161,0.8270156889076047,both,True,True,3.3306690738754696e-16,True
1,High,154,0.821645457161451,15,Discovery,1,154,0.8216454571614514,both,True,True,4.440892098500626e-16,True
3,High,151,0.805321375231091,17,Discovery,3,151,0.8053213752310915,both,True,True,4.440892098500626e-16,True
5,High,146,0.777741876079342,18,Discovery,5,146,0.7777418760793418,both,True,True,2.220446049250313e-16,True
1,High,140,0.772186576964489,20,Discovery,1,140,0.7721865769644893,both,True,True,3.3306690738754696e-16,True
3,High,138,0.75539991224787,21,Discovery,3,138,0.7553999122478701,both,True,True,1.1102230246251565e-16,True
1,High,134,0.749762599469901,23,Discovery,1,134,0.7497625994699009,both,True,True,1.1102230246251565e-16,True
1,High,133,0.744125286691932,25,Discovery,1,133,0.7441252866919317,both,True,True,3.3306690738754696e-16,True
1,High,128,0.738311807889651,26,Discovery,1,128,0.738311807889651,both,True,True,0.0,True
1,High,126,0.732452190366717,27,Discovery,1,126,0.7324521903667173,both,True,True,2.220446049250313e-16,True
1,High,124,0.72654531786376,28,Discovery,1,124,0.7265453178637599,both,True,True,1.1102230246251565e-16,True
2,High,121,0.714536304345351,32,Discovery,2,121,0.7145363043453506,both,True,True,3.3306690738754696e-16,True
1,High,117,0.708429156444963,33,Discovery,1,117,0.7084291564449631,both,True,True,1.1102230246251565e-16,True
1,High,113,0.702159871874654,34,Discovery,1,113,0.7021598718746537,both,True,True,3.3306690738754696e-16,True
1,High,112,0.695890587304344,35,Discovery,1,112,0.6958905873043443,both,True,True,2.220446049250313e-16,True
1,High,111,0.689621302734035,36,Discovery,1,111,0.6896213027340349,both,True,True,1.1102230246251565e-16,True
1,High,107,0.683176243829978,39,Discovery,1,107,0.6831762438299784,both,True,True,4.440892098500626e-16,True
1,High,105,0.67666980341255,41,Discovery,1,105,0.6766698034125501,both,True,True,1.1102230246251565e-16,True
1,High,101,0.669970102388664,43,Discovery,1,101,0.6699701023886635,both,True,True,4.440892098500626e-16,True
2,High,82,0.653629368184062,53,Discovery,2,82,0.6536293681840619,both,True,True,1.1102230246251565e-16,True
1,High,79,0.645355578713378,54,Discovery,1,79,0.6453555787133777,both,True,True,3.3306690738754696e-16,True
1,High,76,0.636864057940833,56,Discovery,1,76,0.6368640579408332,both,True,True,2.220446049250313e-16,True
1,High,53,0.624847754960817,74,Discovery,1,53,0.6248477549608175,both,True,True,4.440892098500626e-16,True
1,High,44,0.610646669620799,78,Discovery,1,44,0.6106466696207989,both,True,True,1.1102230246251565e-16,True
1,High,26,0.587160259250768,93,Discovery,1,26,0.5871602592507682,both,True,True,2.220446049250313e-16,True
1,High,15,0.548016241967384,119,Discovery,1,15,0.5480162419673836,both,True,True,3.3306690738754696e-16,True
1,Low,205,0.995121951219512,1,Discovery,1,205,0.9951219512195122,both,True,True,2.220446049250313e-16,True
1,Low,202,0.990195604926346,2,Discovery,1,202,0.9901956049263463,both,True,True,3.3306690738754696e-16,True
2,Low,200,0.980293648877083,3,Discovery,2,200,0.9802936488770828,both,True,True,2.220446049250313e-16,True
4,Low,198,0.960489736778556,4,Discovery,4,198,0.9604897367785559,both,True,True,1.1102230246251565e-16,True
1,Low,194,0.955538758753924,5,Discovery,1,194,0.9555387587539241,both,True,True,1.1102230246251565e-16,True
1,Low,193,0.950587780729292,6,Discovery,1,193,0.9505877807292924,both,True,True,4.440892098500626e-16,True
1,Low,191,0.945610881353746,7,Discovery,1,191,0.9456108813537464,both,True,True,3.3306690738754696e-16,True
1,Low,188,0.940581036240163,8,Discovery,1,188,0.9405810362401625,both,True,True,4.440892098500626e-16,True
3,Low,187,0.925491500899411,9,Discovery,3,187,0.9254915008994113,both,True,True,3.3306690738754696e-16,True
1,Low,183,0.920434170293404,10,Discovery,1,183,0.9204341702934036,both,True,True,4.440892098500626e-16,True
3,Low,182,0.90526217847538,11,Discovery,3,182,0.9052621784753804,both,True,True,3.3306690738754696e-16,True
2,Low,176,0.894975108265433,13,Discovery,2,176,0.8949751082654329,both,True,True,1.1102230246251565e-16,True
2,Low,171,0.884507563139521,15,Discovery,2,171,0.8845075631395214,both,True,True,4.440892098500626e-16,True
1,Low,165,0.879146911241706,16,Discovery,1,165,0.8791469112417061,both,True,True,1.1102230246251565e-16,True
