"cohort_split","time","n_risk","n_event","survival","lower","upper","risk_group"
"Discovery",1,205,1,0.995121951219512,0.985630057609733,1,"Low"
"Discovery",2,202,1,0.990195604926346,0.976766004933785,1,"Low"
"Discovery",3,200,2,0.980293648877083,0.961357362669142,0.999602931589002,"Low"
"Discovery",4,198,4,0.960489736778556,0.934027326964497,0.987701866769907,"Low"
"Discovery",5,194,1,0.955538758753924,0.927560673091152,0.98436074961887,"Low"
"Discovery",6,193,1,0.950587780729292,0.921191148705585,0.980922504674043,"Low"
"Discovery",7,191,1,0.945610881353746,0.914864741733522,0.97739031590646,"Low"
"Discovery",8,188,1,0.940581036240163,0.908531376439007,0.973761290669096,"Low"
"Discovery",9,187,3,0.925491500899411,0.889911951035088,0.962493555953238,"Low"
"Discovery",10,183,1,0.920434170293404,0.883771557652212,0.958617704437487,"Low"
"Discovery",11,182,3,0.90526217847538,0.865612331448939,0.946728208465145,"Low"
"Discovery",13,176,2,0.894975108265433,0.853452745672799,0.938517625581355,"Low"
"Discovery",15,171,2,0.884507563139521,0.841179513483847,0.930067383608526,"Low"
"Discovery",16,165,1,0.879146911241706,0.834916871092254,0.925720054662101,"Low"
"Discovery",19,161,3,0.862765291777575,0.815912232871421,0.912308847333274,"Low"
"Discovery",20,156,1,0.857234745035411,0.809543843414855,0.907735157364847,"Low"
"Discovery",21,152,2,0.845955340495471,0.796601287376297,0.898367162410517,"Low"
"Discovery",22,150,1,0.840315638225501,0.790173285750201,0.893639894666804,"Low"
"Discovery",23,148,1,0.834637829859113,0.783721712633022,0.888861818937664,"Low"
"Discovery",24,147,1,0.828960021492724,0.777296541436564,0.884057345685873,"Low"
"Discovery",25,145,1,0.823243055827257,0.770845148922865,0.879202690598521,"Low"
"Discovery",27,139,1,0.817320443914831,0.764148311844213,0.874192480290822,"Low"
"Discovery",28,136,1,0.811310734768399,0.757364161508654,0.869099888538781,"Low"
"Discovery",36,128,1,0.80497236965302,0.750173663180109,0.86377401355028,"Low"
"Discovery",37,124,3,0.785497231677544,0.728190086962741,0.847314337313488,"Low"
"Discovery",38,120,1,0.778951421413565,0.720855482896197,0.841729488529932,"Low"
"Discovery",45,108,2,0.764526395091091,0.70453070794578,0.82963113204139,"Low"
"Discovery",48,100,1,0.75688113114018,0.695854865051357,0.823259382736024,"Low"
"Discovery",61,79,1,0.747300357328279,0.684557424090787,0.815793977845911,"Low"
"Discovery",66,68,1,0.736310646191099,0.671339562660196,0.807569518986875,"Low"
"Discovery",1,205,1,0.995121951219512,0.985630057609733,1,"High"
"Discovery",2,202,2,0.98526925863318,0.968861109131515,1,"High"
"Discovery",3,198,4,0.965364829165843,0.940479550647758,0.990908577170582,"High"
"Discovery",4,194,3,0.950436507065341,0.920952382596754,0.9808645604624,"High"
"Discovery",5,191,3,0.935508184964838,0.902203931661731,0.970041842451581,"High"
"Discovery",6,185,4,0.915280980965598,0.877542410314474,0.954642492796602,"High"
"Discovery",7,181,1,0.910224179965789,0.871492706292186,0.950676984227815,"High"
"Discovery",9,177,5,0.884511632509128,0.841191210210072,0.930063008918724,"High"
"Discovery",10,171,2,0.874166467216623,0.829209965323995,0.921560333765902,"High"
"Discovery",11,168,1,0.868963095387953,0.823218872389852,0.917249210959078,"High"
"Discovery",12,167,2,0.858556351730612,0.811313486935096,0.908550173227858,"High"
