cohort,model,score,status,reason,n,events,HR,CI_lower,CI_upper,p_value,BH_FDR_M1_to_M4,score_label
Discovery,clinical_stratified,M1,completed,,373,108,1.20448583383211,0.982140640385371,1.47716738748635,0.0739501387350501,0.1479002774701,M1
Discovery,clinical_stratified,M2,completed,,373,108,1.26791796072535,1.04525162474293,1.53801813560949,0.0159884071110788,0.0639536284443152,M2
Discovery,clinical_stratified,M3,completed,,373,108,1.17270407600167,0.957368043159861,1.43647457181866,0.123779917740041,0.165039890320055,M3
Discovery,clinical_stratified,M4,completed,,373,108,1.06353462465964,0.868936379664001,1.30171313380538,0.550216053702084,0.550216053702084,M4
Discovery,clinical_stratified,ECM21_gene_equal,completed,,373,108,1.23462962864082,1.01328403020608,1.50432679730258,0.0365357662235989,,ECM21-GE
Discovery,clinical_stratified,ECM21_module_balanced,completed,,373,108,1.21053869426351,0.993298494045998,1.47529059904257,0.0583089812656735,,ECM21-MB
Discovery,clinical_stratified,ECM19_structural,completed,,373,108,1.24027336064002,1.01677994742634,1.51289176483758,0.0336573216142015,,ECM19
Validation,clinical_stratified,M1,completed,,98,30,1.07307354140822,0.75080059563753,1.53367862513829,0.698717040876456,0.77857303905689,M1
Validation,clinical_stratified,M2,completed,,98,30,1.166526290061,0.817696585325069,1.66416689249412,0.395482612350002,0.77857303905689,M2
Validation,clinical_stratified,M3,completed,,98,30,1.04948922946322,0.749458977949246,1.46963032689681,0.77857303905689,0.77857303905689,M3
Validation,clinical_stratified,M4,completed,,98,30,1.06914434645529,0.773951956834367,1.47692582654965,0.685054899377127,0.77857303905689,M4
Validation,clinical_stratified,ECM21_gene_equal,completed,,98,30,1.10770182236136,0.786963646523672,1.55916138271803,0.55757473605044,,ECM21-GE
Validation,clinical_stratified,ECM21_module_balanced,completed,,98,30,1.09079826913611,0.787190781019567,1.51150253869749,0.601521593148167,,ECM21-MB
Validation,clinical_stratified,ECM19_structural,completed,,98,30,1.11080070242086,0.78098465011587,1.57990070651915,0.558786994820869,,ECM19
Pooled,clinical_stratified,M1,completed,,471,138,1.17678499155467,0.989067121425077,1.40013037169109,0.0663557988399464,0.132711597679893,M1
Pooled,clinical_stratified,M2,completed,,471,138,1.24746502947374,1.05616423204597,1.47341573643841,0.0092312340133525,0.0369249360534104,M2
Pooled,clinical_stratified,M3,completed,,471,138,1.14922165359752,0.970613529977221,1.36069647527827,0.106549577320023,0.142066103093364,M3
Pooled,clinical_stratified,M4,completed,,471,138,1.07589525887485,0.911801146289843,1.2695208958439,0.386262140075151,0.386262140075151,M4
Pooled,clinical_stratified,ECM21_gene_equal,completed,,471,138,1.20693881112027,1.02186689253506,1.42552939568734,0.0267802963408171,,ECM21-GE
Pooled,clinical_stratified,ECM21_module_balanced,completed,,471,138,1.18255425780187,1.00454988806759,1.39210067041612,0.0439528349383253,,ECM21-MB
Pooled,clinical_stratified,ECM19_structural,completed,,471,138,1.21360387256709,1.02464693705191,1.43740668736827,0.0249633428674858,,ECM19
