"cohort","model","score","status","reason","n","events","HR","CI_lower","CI_upper","p_value","BH_FDR_M1_to_M4"
"Discovery","clinical_primary","M1","completed","",373,108,1.21033149169616,0.988272175528196,1.48228631349305,0.0649033586861237,0.123725901245816
"Discovery","clinical_primary","M2","completed","",373,108,1.26915755876958,1.04812629056899,1.53680040609185,0.0146277983611191,0.0585111934444766
"Discovery","clinical_primary","M3","completed","",373,108,1.18958959480504,0.971577953237226,1.45652070361759,0.0927944259343623,0.123725901245816
"Discovery","clinical_primary","M4","completed","",373,108,1.07277675177344,0.877407630772812,1.31164799436714,0.493398929445381,0.493398929445381
"Discovery","clinical_primary","ECM21_gene_equal","completed","",373,108,1.24338399291067,1.02163322139169,1.51326691561624,0.0297387651543538,
"Discovery","clinical_primary","ECM21_module_balanced","completed","",373,108,1.22164876099749,1.00340564041147,1.48736028096742,0.0461673482760225,
"Discovery","clinical_primary","ECM19_structural","completed","",373,108,1.24817569075314,1.02445045948175,1.52075929154759,0.0278284532444042,
"Discovery","clinical_primary","LOMO_minus_M1","completed","",373,108,1.24748433918432,1.02851901516076,1.51306602364265,0.0247324150538582,
"Discovery","clinical_primary","LOMO_minus_M2","completed","",373,108,1.20437996841185,0.984100729860028,1.47396609340798,0.0711554535593095,
"Discovery","clinical_primary","LOMO_minus_M3","completed","",373,108,1.25056613625554,1.02965479977727,1.51887376379677,0.0241532628420738,
"Discovery","clinical_primary","LOMO_minus_M4","completed","",373,108,1.24817569075314,1.02445045948175,1.52075929154759,0.0278284532444042,
"Discovery","clinical_stratified","M1","completed","",373,108,1.20448583383211,0.982140640385371,1.47716738748635,0.0739501387350501,0.1479002774701
"Discovery","clinical_stratified","M2","completed","",373,108,1.26791796072535,1.04525162474293,1.53801813560949,0.0159884071110788,0.0639536284443152
"Discovery","clinical_stratified","M3","completed","",373,108,1.17270407600167,0.957368043159861,1.43647457181866,0.123779917740041,0.165039890320055
"Discovery","clinical_stratified","M4","completed","",373,108,1.06353462465964,0.868936379664001,1.30171313380538,0.550216053702084,0.550216053702084
"Discovery","clinical_stratified","ECM21_gene_equal","completed","",373,108,1.23462962864082,1.01328403020608,1.50432679730258,0.0365357662235989,
"Discovery","clinical_stratified","ECM21_module_balanced","completed","",373,108,1.21053869426351,0.993298494045998,1.47529059904257,0.0583089812656735,
"Discovery","clinical_stratified","ECM19_structural","completed","",373,108,1.24027336064002,1.01677994742634,1.51289176483758,0.0336573216142015,
"Discovery","clinical_stratified","LOMO_minus_M1","completed","",373,108,1.23790983346531,1.01947020563606,1.50315403757584,0.031187113975739,
"Discovery","clinical_stratified","LOMO_minus_M2","completed","",373,108,1.191616707419,0.972945006746009,1.45943539208766,0.0901059064079534,
"Discovery","clinical_stratified","LOMO_minus_M3","completed","",373,108,1.24564397976998,1.02407668820788,1.5151491506486,0.0279432126806384,
"Discovery","clinical_stratified","LOMO_minus_M4","completed","",373,108,1.24027336064002,1.01677994742634,1.51289176483758,0.0336573216142015,
"Discovery","caf_primary","M1","completed","",373,108,1.04778759108094,0.740480745736334,1.4826298216998,0.792111812997779,0.79980814195057
"Discovery","caf_primary","M2","completed","",373,108,1.2336021614924,0.886358607844246,1.71688330137606,0.213223943660319,0.79980814195057
"Discovery","caf_primary","M3","completed","",373,108,0.948559654712241,0.630668065172032,1.42668618919585,0.79980814195057,0.79980814195057
"Discovery","caf_primary","M4","completed","",373,108,0.952940151670979,0.755134289431863,1.2025608496072,0.68468042486377,0.79980814195057
"Discovery","caf_primary","ECM21_gene_equal","completed","",373,108,1.15915057917953,0.752974563750264,1.78442955432673,0.502234605805752,
"Discovery","caf_primary","ECM21_module_balanced","completed","",373,108,1.06316280409476,0.687669504330565,1.64368950621268,0.782910022767641,
"Discovery","caf_primary","ECM19_structural","completed","",373,108,1.17267474597233,0.772877685535643,1.77928032543496,0.453960383357418,
"Discovery","caf_primary","LOMO_minus_M1","completed","",373,108,1.19426821480686,0.776203021122315,1.83750453178564,0.419332350352957,
"Discovery","caf_primary","LOMO_minus_M2","completed","",373,108,0.986329382494812,0.643704055659042,1.51132440788581,0.94959126479788,
"Discovery","caf_primary","LOMO_minus_M3","completed","",373,108,1.18612043935678,0.805188549043767,1.74726987651615,0.387781650846677,
"Discovery","caf_primary","LOMO_minus_M4","completed","",373,108,1.17267474597233,0.772877685535643,1.77928032543496,0.453960383357418,
"Discovery","caf_stratified","M1","completed","",373,108,1.0745859887451,0.756456589569071,1.52650537139889,0.687949927592272,0.804607860996363
"Discovery","caf_stratified","M2","completed","",373,108,1.27571469384508,0.913804591304723,1.78095841887662,0.152579096696747,0.610316386786986
"Discovery","caf_stratified","M3","completed","",373,108,0.949304866514701,0.628631664837398,1.43355764590954,0.804607860996363,0.804607860996363
"Discovery","caf_stratified","M4","completed","",373,108,0.951621005317472,0.753184629395169,1.20233804889068,0.677694679384923,0.804607860996363
"Discovery","caf_stratified","ECM21_gene_equal","completed","",373,108,1.20154168387513,0.778750900339797,1.8538693405806,0.40664176549448,
"Discovery","caf_stratified","ECM21_module_balanced","completed","",373,108,1.09323351963999,0.706539440516819,1.69156802851687,0.688974896814461,
"Discovery","caf_stratified","ECM19_structural","completed","",373,108,1.2153370111316,0.798806834751088,1.84906286021771,0.362378299629382,
"Discovery","caf_stratified","LOMO_minus_M1","completed","",373,108,1.23337483646964,0.801375945111654,1.89825199585265,0.340350005575496,
"Discovery","caf_stratified","LOMO_minus_M2","completed","",373,108,1.00565552799708,0.654585330798974,1.5450132983528,0.979462799349627,
"Discovery","caf_stratified","LOMO_minus_M3","completed","",373,108,1.23299088964397,0.833878965577121,1.82312613305082,0.29390316119515,
"Discovery","caf_stratified","LOMO_minus_M4","completed","",373,108,1.2153370111316,0.798806834751088,1.84906286021771,0.362378299629382,
