iteration,wald_z,HR_per_SD,mean_matching_distance,maximum_matching_distance,n_genes,unique_genes,genes,warning
1,-3.07069398385202,0.760279350993685,0.276637153892257,1.19105120119854,21,21,"PRRX1;PRKACB;RASSF3;SRD5A1;LOC389831;SERPINB6;RGS2;MYC;PI3;PARP9;CREBZF;RCAN1;CEP44;COMT;PTCH1;CHI3L1;FBXO21;POF1B;IPO9;TNFRSF9;CTSV",""
2,-2.82509706768039,0.719810791033344,0.271133160503718,1.18088650294691,21,21,"CLIC5;RARRES1;MARCHF6;KITLG;CDC25A;SH3BGRL;IGFBP5;CHCHD10;TMT1A;AIF1;KDM1B;MUC3B;SEPTIN6;TRAPPC4;TSPAN12;ANTXR1;SECISBP2;MUC5B;IL11RA;LYVE1;TP53RK",""
3,-0.672364372662715,0.936284263903355,0.246670515264636,1.03896764541156,21,21,"LINC02086;NR3C2;TPX2;FITM2;NPC1L1;SCNN1A;GBP3;NME7;PAPSS2;TACC1;AIMP1;MUC3B;LMO2;TMEM165;MELTF;MUC12;TMEM243;PI3;OR7E47P;ESM1;GJB3",""
4,-1.259962357539,0.864233879786651,0.319266471813297,1.18007293348179,21,21,"IQGAP2;MRC1;C8ORF33;EPHX1;MN1;AURKA;AREG;ATP8B1;RRM2;TCEAL3;TNFAIP2;ANTXR2;GTF2H3;RHPN2;C1QC;MXRA5;PCM1;DNAJC12;SPPL2B;MTHFD2;LPAR6",""
5,-0.860101631072677,0.917852476143087,0.304240431861006,1.20834318010665,21,21,"PTGIS;MATN2;FAM13A;KRCC1;ACER2;KLF5;GOLM1;PPIB;SPP1;ZFTA;ADGRA2;KRAS;RRM2B;PNPT1;LAMA3;HMGCS2;PON2;CEMIP;PAX8;NEIL3;ARHGAP32",""
6,-1.35988208569748,0.878687701085119,0.29486694505044,1.24748582644795,21,21,"IGKV4-1;PBLD;PDGFRA;CTNNA1;TMEFF2;ATP8B1;ANKRD22;TOX3;SLC26A2;SCOC;CDV3;CRYBG1;CDC25C;UQCC2;S100A9;CA2;ASAH1;GBP1;GLB1L;COL13A1;SRD5A3",""
7,-1.53671577853035,0.861968802282771,0.278544907488848,1.23710828245465,21,21,"MATN2;SLC2A10;TUBB2A;TMEM263;RASGRP1;HILPDA;LOXL2;SNHG5;LGALS4;WFS1;MSANTD4;ACSL3;KAT14;CHMP2B;CCL2;IGLJ3;XIAP;PPP1R14D;RPLP2;LYPD6;TRIP13",""
8,-2.6891707430041,0.776769768139828,0.238665420161672,0.777058444884002,21,21,"C2CD4A;CHN2;EDIL3;VWF;SPART;ZNF91;EPHB3;TDP2;CKB;STEAP2;C2ORF72;JUN;CELSR1;EXOC1;NQO1;DMBT1;ACOT7;EPDR1;EHBP1;RBL1;KHDRBS3",""
9,-1.27944090066434,0.88207361254934,0.279889451139684,1.15372758641338,21,21,"IL1B;IGK;HES1;SLC44A3;SST;ADM;NUPR1;ID1;C19ORF33;GCHFR;PAWR;GATA6;RABGGTB;SHLD2;SULF2;TESC;PHF14;C2CD4A;IFT140;CNOT7;FAM107B",""
10,-0.923427363824661,0.900145314069379,0.301002049567663,0.838644785184141,21,21,"PLCB1;CCL5;NREP;CLK1;CSAG3;SCNN1A;H2BC5;TMT1A;EIF5A;IL22RA1;PRPF6;RELL1;BCKDHB;SMS;CLEC2B;TCEA3;ROCK1;LGR5;RXRB;SLC9B2;RFTN1",""
11,-1.06261930227399,0.898164283159048,0.277119645965801,1.0694615550009,21,21,"MAFB;DDX60;C11ORF96;TCEAL8;HOXD11;SCNN1A;FXYD3;CDK1;TIMP2;SCARB2;MOSPD1;FCGRT;BTNL3;PGD;NAMPT;ADIRF;DHX36;ZG16B;ZBTB42;ZNF503-AS1;SGMS2",""
12,-1.35288636219231,0.872956403695835,0.233301108976579,0.995234757042197,21,21,"QPRT;APOC1;PDGFRA;MKI67;INO80D;PLBD1;CFB;NCOA7;RNF43;ECM1;LIF;NOL4L;PHF20L1;C1GALT1C1;DEPP1;PCCA;SEC61A1;GSPT2;C12ORF76;LINC00467;CYP2S1",""
13,-0.48425943150756,0.943656637261819,0.27011342362371,0.817140287009523,21,21,"RARRES1;RNF186;CDC42EP5;TGM2;SST;TMEM97;NPNT;IGFBP7;S100A4;DCAF13;C3ORF52;BNIP3L;TTC3;JUNB;EFNB2;TPM2;PCCB;CCL2;NKX3-2;ADSS1;KIZ",""
14,-1.83414617816404,0.842329645008421,0.272447186354213,1.19373267294152,21,21,"NT5E;PLAAT4;FUT4;CENPN;NFIA;NEBL;FXYD3;PCLAF;CEMIP;VEGFA;GATC;NKTR;PHYKPL;BIRC2;MAP3K20;GBP3;TOMM34;GCNT3;SIX2;ZNF573;FITM2",""
15,-1.71324641444303,0.811880066937437,0.277041959218459,1.05991937973286,21,21,"MMP7;IGLV3-25;CCN2;IRF1;OLFM1;ASPH;PALLD;RPL22L1;GMDS;AP1S2;PTBP3;PRSS8;CDKN2C;PGD;PHLDA1;IGLV2-14;ZBTB33;IFI6;CAMK1;ANKEF1;FMOD",""
16,-2.45705040039689,0.803933783146392,0.279373210899354,0.8926125280206,21,21,"EMB;PROX1;KLF5;JPH1;STMN2;NRARP;MYLK;TSPAN6;AOC1;BAG1;GTF2H3;LAMP1;ITGA11;TIMM17A;ZCCHC24;IGLV3-25;PLSCR1;SLC6A8;SNED1;NEIL3;SRD5A3",""
17,-2.6751282871187,0.786760837788546,0.292281547934684,1.03896764541156,21,21,"CLU;IL1B;ID3;MECOM;MN1;MGAT5;HLA-DMA;MXRA7;PAPSS2;KIF20A;KLHL23;SHROOM3;HDAC4;NDUFA5;STAT1;TESC;ACVR1B;TRIM31;LAT;RNASEH2B;IRF1",""
18,-1.36707461301541,0.870456378232708,0.282036236972703,1.11864567645154,21,21,"MRC1;TRIM31;GJA1;MYO5B;P2RY1;GMDS;TSPAN12;TMED2;NNMT;TGM2;ARFIP1;RCAN1;ELMOD2;ATP5MJ;ANG;TNFRSF11A;GET1;MYL9;CELF3;MIGA1;SLC35A3",""
19,-2.4288511889609,0.783483008319216,0.277785888090783,0.678280458944841,21,21,"KCTD12;IL1R2;CHMP4C;PRRG4;B4GALT1;PCLAF;ASCL2;CTSS;S100P;FZD6;PTPRM;CEBPA;ITGA11;C2CD5;SMPDL3A;PHLDA1;GLG1;SAMD12;HHAT;RAD18;DEPTOR",""
20,-1.68862341433132,0.846656610148875,0.264766481604013,1.25368425484399,21,21,"QPCT;CCL28;DPYSL2;RPS11;PCDH19;SNHG29;ANTXR1;ISG15;PCLAF;STK38L;SP110;ABCC3;RIF1;ABCE1;NAMPT;DDC;SEC23A;LGR5;CILK1;PDE7A;THAP9-AS1",""
21,-1.62409907576383,0.865393268308914,0.303249501623452,1.19735217809345,21,21,"DUOXA2;GALNT6;P4HA1;BBIP1;H3C10;HOXB7;SERPINE2;ETHE1;IGKV4-1;ETV4;SLC15A3;STOM;PGM2;DCUN1D5;ZG16B;DCN;RHPN2;WFDC2;TERF2;EEF1D;CLDN15",""
22,-1.64639367716923,0.853471233965789,0.278708148257095,0.998646174111278,21,21,"CXCL2;HOXA5;SLCO4A1;KITLG;SOX6;RNASE4;CTSK;PRDX5;LGALS1;VWA5A;SP140L;ZC3HAV1L;KRT10-AS1;POLR2K;EPHB3;XDH;DNMT1;CYP3A5;SENP2;LINC01355;TTC22",""
23,-0.658001026214127,0.936244235756875,0.295301458717714,0.938139259257771,21,21,"HPGD;AMIGO2;PKP2;GJB3;B4GALT1;BIK;GGH;SLC6A6;PROM1;SCARB2;CEP44;TM9SF3;LMLN;PCNP;F3;ALOX5;FAM171A1;SRSF6;RNF38;ZNF43;THY1",""
24,-2.61113863272638,0.782156664592685,0.267276255703842,0.89250298409362,21,21,"PHLDA1;PRAP1;HK2;C1ORF21;IL1A;MGST1;MGP;TMEM97;IGKV1OR2-108;BAG1;ZBTB41;EIF5;RAB4A;VAMP7;HOXB9;SPP1;FZD5;IGKV4-1;DENND1C;LINS1;HEG1",""
25,-1.15666887156632,0.880405852043033,0.254518353859151,1.16336693237587,21,21,"IL1B;IGLV3-25;COTL1;BCL6;CHGB;CDC42;GBP1;GDF15;ISG15;RGCC;ITPRID2;SLC39A4;RP2;PSMF1;EGFR;APCDD1;SMCO4;CXCL8;MADCAM1;SPAST;NIPAL2",""
26,-0.810740061776503,0.917091706742743,0.243616162254229,1.02660103626427,21,21,"DPEP1;APOLD1;HILPDA;TGM2;ROBO2;ATP8B1;GNE;CDC42;GPNMB;RSBN1;PRRG1;BKGD;GALNT18;COMT;CDK6;ADAMDEC1;ATP6V1B2;GSTM3;EME2;RBL1;LCP1",""
27,-2.33462864635975,0.802805617373261,0.275541973105137,1.23244770981705,21,21,"IGKV4-1;RNF186;ARHGDIB;SRD5A3;SATB1;ITGA6;IGLV@;ATP8B1;PARM1;GPC4;MBOAT1;HK2;CSTF3;VPS4B;ELOVL7;DMBT1;EIF5;PRAP1;PRUNE1;NDUFS1;TCFL5",""
28,-1.08230571895223,0.885379330184494,0.272883116417244,0.997443742495656,21,21,"LOC105379173;IFIT3;LPP;EEA1;EPHA3;EDIL3;PDGFRA;NCOA7;SLC12A2;SLC46A3;PRP4K;CTSB;C1ORF210;EIF2AK2;NQO1;AQP3;ROCK1;PPP1R14D;AP4S1;TGIF2;TMX1",""
29,-0.40448541883803,0.956023712448974,0.267752088154897,0.866587271106399,21,21,"FAP;PBLD;GJA1;EMP1;TNNC1;UCP2;TPM2;GDF15;CLDN3;CEP55;YTHDC2;NEURL1B;GGT7;TEAD1;BMP4;LAPTM4B;TNFRSF10B;VSIG2;PPCDC;ARHGAP42;HNRNPD",""
