"cohort","model","comparison","score_A","score_B","n","events","bootstrap_reps_requested","bootstrap_reps_successful","bootstrap_success_fraction","Cindex_A_apparent","Cindex_B_apparent","delta_Cindex_apparent","delta_Cindex_boot_median","CI_lower","CI_upper","bootstrap_probability_delta_gt_0","reliable_bootstrap"
"Discovery","clinical_primary","ECM21_gene_equal_minus_best_module_frozen","ECM21_gene_equal","M2",373,108,1000,602,0.602,0.615005200818709,0.624500889172231,-0.00949568835352155,-0.0049182780080661,-0.0178892262115774,0.00569303974757429,0.1578073089701,FALSE
"Discovery","clinical_primary","ECM21_gene_equal_minus_M1","ECM21_gene_equal","M1",373,108,1000,602,0.602,0.615005200818709,0.61094520685837,0.00405999396033951,0.0032767637432739,-0.00542634958367928,0.0172630201923284,0.759136212624585,FALSE
"Discovery","clinical_primary","ECM21_gene_equal_minus_M2","ECM21_gene_equal","M2",373,108,1000,602,0.602,0.615005200818709,0.624500889172231,-0.00949568835352155,-0.0049182780080661,-0.0178892262115774,0.00569303974757429,0.1578073089701,FALSE
"Discovery","clinical_primary","ECM21_gene_equal_minus_M3","ECM21_gene_equal","M3",373,108,1000,602,0.602,0.615005200818709,0.611951816931181,0.00305338388752807,0.00287977008541923,-0.0091172713823814,0.0183872138295347,0.737541528239203,FALSE
"Discovery","clinical_primary","ECM21_gene_equal_minus_M4","ECM21_gene_equal","M4",373,108,1000,602,0.602,0.615005200818709,0.604838439083314,0.0101667617353958,0.00585980934826758,-0.0144190679240349,0.0426370478891981,0.727574750830565,FALSE
"Discovery","clinical_primary","ECM21_gene_equal_minus_ECM19_structural","ECM21_gene_equal","ECM19_structural",373,108,1000,602,0.602,0.615005200818709,0.616078918229708,-0.00107371741099893,-0.000508852426376383,-0.00433519840296066,0.003399406795694,0.37375415282392,FALSE
"Discovery","clinical_primary","ECM21_gene_equal_minus_ECM21_module_balanced","ECM21_gene_equal","ECM21_module_balanced",373,108,1000,602,0.602,0.615005200818709,0.611985370600275,0.00301983021843433,0.00176341648194789,-0.00437521036086466,0.011177465057904,0.76578073089701,FALSE
"Discovery","clinical_primary","ECM21_module_balanced_minus_best_module_frozen","ECM21_module_balanced","M2",373,108,1000,602,0.602,0.611985370600275,0.624500889172231,-0.0125155185719559,-0.00669965814116036,-0.0261452207534946,0.00838011830540605,0.149501661129568,FALSE
"Discovery","clinical_stratified","ECM21_gene_equal_minus_best_module_frozen","ECM21_gene_equal","M2",373,108,1000,1000,1,0.573063114451565,0.581317317048619,-0.00825420259705401,-0.00671889827249633,-0.0308394747260936,0.00978419570643286,0.203,TRUE
"Discovery","clinical_stratified","ECM21_gene_equal_minus_M1","ECM21_gene_equal","M1",373,108,1000,1000,1,0.573063114451565,0.56497668019998,0.00808643425158539,0.00624735124310988,-0.00850203391550698,0.0253049878052511,0.807,TRUE
"Discovery","clinical_stratified","ECM21_gene_equal_minus_M2","ECM21_gene_equal","M2",373,108,1000,1000,1,0.573063114451565,0.581317317048619,-0.00825420259705401,-0.00671889827249633,-0.0308394747260936,0.00978419570643286,0.203,TRUE
"Discovery","clinical_stratified","ECM21_gene_equal_minus_M3","ECM21_gene_equal","M3",373,108,1000,1000,1,0.573063114451565,0.56732543703654,0.00573767741502529,0.00548709254201829,-0.0135876441203207,0.0302346457280437,0.753,TRUE
"Discovery","clinical_stratified","ECM21_gene_equal_minus_M4","ECM21_gene_equal","M4",373,108,1000,1000,1,0.573063114451565,0.54863604335134,0.0244270711002248,0.0158927672092319,-0.0299845637192826,0.0759223820040861,0.771,TRUE
"Discovery","clinical_stratified","ECM21_gene_equal_minus_ECM19_structural","ECM21_gene_equal","ECM19_structural",373,108,1000,1000,1,0.573063114451565,0.575713854309969,-0.00265073985840358,-0.00113084547454306,-0.00780976701864224,0.00443151486073739,0.306,TRUE
"Discovery","clinical_stratified","ECM21_gene_equal_minus_ECM21_module_balanced","ECM21_gene_equal","ECM21_module_balanced",373,108,1000,1000,1,0.573063114451565,0.568600476462101,0.00446263798946411,0.00372975432337541,-0.0060134189658488,0.01680321197091,0.802,TRUE
"Discovery","clinical_stratified","ECM21_module_balanced_minus_best_module_frozen","ECM21_module_balanced","M2",373,108,1000,1000,1,0.568600476462101,0.581317317048619,-0.0127168405865181,-0.0109782733617282,-0.0419612331191391,0.0127999215449949,0.155,TRUE
"Discovery","caf_primary","ECM21_gene_equal_minus_best_module_frozen","ECM21_gene_equal","M2",373,108,1000,639,0.639,0.615240076502366,0.622789652048451,-0.00754957554608593,-0.00415530882255177,-0.0250401518469849,0.00767417797194758,0.248826291079812,FALSE
"Discovery","caf_primary","ECM21_gene_equal_minus_M1","ECM21_gene_equal","M1",373,108,1000,639,0.639,0.615240076502366,0.615542059524209,-0.000301983021843366,0.000465246115194939,-0.00822669104204754,0.0136545554422036,0.543035993740219,FALSE
"Discovery","caf_primary","ECM21_gene_equal_minus_M2","ECM21_gene_equal","M2",373,108,1000,639,0.639,0.615240076502366,0.622789652048451,-0.00754957554608593,-0.00415530882255177,-0.0250401518469849,0.00767417797194758,0.248826291079812,FALSE
"Discovery","caf_primary","ECM21_gene_equal_minus_M3","ECM21_gene_equal","M3",373,108,1000,639,0.639,0.615240076502366,0.615844042546052,-0.000603966043686843,-0.000391274576934442,-0.0157193914666161,0.0150742698892246,0.469483568075117,FALSE
