"source","target","Normal","Tumor","Tumor_minus_Normal"
"Stromal_1","Stromal_1",23,65,42
"Stromal_2","Stromal_1",23,68,45
"Stromal_3","Stromal_1",25,72,47
"Myeloid_SPP1pos","Stromal_1",2,16,14
"Myeloid_Proinflammatory","Stromal_1",3,11,8
"Myeloid_cDC","Stromal_1",3,15,12
"Epithelial","Stromal_1",10,22,12
"Stromal_1","Stromal_2",35,64,29
"Stromal_2","Stromal_2",36,67,31
"Stromal_3","Stromal_2",37,71,34
"Myeloid_SPP1pos","Stromal_2",3,14,11
"Myeloid_Proinflammatory","Stromal_2",5,10,5
"Myeloid_cDC","Stromal_2",4,14,10
"Epithelial","Stromal_2",13,19,6
"Stromal_1","Stromal_3",23,56,33
"Stromal_2","Stromal_3",25,63,38
"Stromal_3","Stromal_3",33,73,40
"Myeloid_SPP1pos","Stromal_3",6,21,15
"Myeloid_Proinflammatory","Stromal_3",9,14,5
"Myeloid_cDC","Stromal_3",7,21,14
"Epithelial","Stromal_3",13,29,16
"Stromal_1","Myeloid_SPP1pos",26,55,29
"Stromal_2","Myeloid_SPP1pos",20,55,35
"Stromal_3","Myeloid_SPP1pos",34,59,25
"Myeloid_SPP1pos","Myeloid_SPP1pos",20,28,8
"Myeloid_Proinflammatory","Myeloid_SPP1pos",20,21,1
"Myeloid_cDC","Myeloid_SPP1pos",21,25,4
"Epithelial","Myeloid_SPP1pos",11,19,8
"Stromal_1","Myeloid_Proinflammatory",27,23,-4
"Stromal_2","Myeloid_Proinflammatory",22,24,2
"Stromal_3","Myeloid_Proinflammatory",31,24,-7
"Myeloid_SPP1pos","Myeloid_Proinflammatory",20,9,-11
"Myeloid_Proinflammatory","Myeloid_Proinflammatory",22,7,-15
"Myeloid_cDC","Myeloid_Proinflammatory",21,9,-12
"Epithelial","Myeloid_Proinflammatory",10,10,0
"Stromal_1","Myeloid_cDC",29,54,25
"Stromal_2","Myeloid_cDC",23,52,29
"Stromal_3","Myeloid_cDC",36,57,21
"Myeloid_SPP1pos","Myeloid_cDC",25,30,5
"Myeloid_Proinflammatory","Myeloid_cDC",24,24,0
"Myeloid_cDC","Myeloid_cDC",25,27,2
"Epithelial","Myeloid_cDC",13,20,7
"Stromal_1","Epithelial",34,93,59
"Stromal_2","Epithelial",39,105,66
"Stromal_3","Epithelial",45,95,50
"Myeloid_SPP1pos","Epithelial",5,10,5
"Myeloid_Proinflammatory","Epithelial",5,8,3
"Myeloid_cDC","Epithelial",4,11,7
"Epithelial","Epithelial",17,43,26
