"source","target","interaction_name","prob_tumor","pval_tumor","ligand","receptor","pathway_name","annotation","prob_normal","pval_normal","prob_difference","significant_tumor","significant_normal","comparison_status","evidence_scope","n_pairs","median_tumor","median_normal","median_difference","p_value","FDR","donor_supported","interpretation","donor_support","axis"
"Stromal_1","Epithelial","COL1A1_CD44",0.0545067368222614,0,"COL1A1","CD44","COLLAGEN","ECM-Receptor",0,1,0.0545067368222614,TRUE,FALSE,"estimated_in_both_conditions","paired_patients_but_pooled_condition_specific_CellChat",8,1.5410401277101,0.662698673400908,0.964456685359893,0.0142661867014469,0.348682767854509,FALSE,"CellChat probabilities are pooled exploratory estimates; paired donor statistics refer to an LR expression score, not a CellChat probability test.","Exploratory","Stromal_1 → COL1A1_CD44"
"Stromal_1","Epithelial","COL1A2_CD44",0.0505651592045501,0,"COL1A2","CD44","COLLAGEN","ECM-Receptor",0,1,0.0505651592045501,TRUE,FALSE,"estimated_in_both_conditions","paired_patients_but_pooled_condition_specific_CellChat",8,1.5566106065696,0.717456386548739,0.92369646906487,0.0142661867014469,0.348682767854509,FALSE,"CellChat probabilities are pooled exploratory estimates; paired donor statistics refer to an LR expression score, not a CellChat probability test.","Exploratory","Stromal_1 → COL1A2_CD44"
"Stromal_2","Epithelial","COL1A2_CD44",0.0506507110780669,0,"COL1A2","CD44","COLLAGEN","ECM-Receptor",0,1,0.0506507110780669,TRUE,FALSE,"estimated_in_both_conditions","paired_patients_but_pooled_condition_specific_CellChat",6,1.38210814684383,0.649521094218492,0.893403910717419,0.0360316862182336,0.348682767854509,FALSE,"CellChat probabilities are pooled exploratory estimates; paired donor statistics refer to an LR expression score, not a CellChat probability test.","Exploratory","Stromal_2 → COL1A2_CD44"
"Stromal_2","Epithelial","COL1A1_CD44",0.0510983074323739,0,"COL1A1","CD44","COLLAGEN","ECM-Receptor",0,1,0.0510983074323739,TRUE,FALSE,"estimated_in_both_conditions","paired_patients_but_pooled_condition_specific_CellChat",6,1.33147089700195,0.640615026294169,0.836456138981113,0.0360316862182336,0.348682767854509,FALSE,"CellChat probabilities are pooled exploratory estimates; paired donor statistics refer to an LR expression score, not a CellChat probability test.","Exploratory","Stromal_2 → COL1A1_CD44"
"Stromal_1","Epithelial","THBS2_CD47",0.00728796840212161,0,"THBS2","CD47","THBS","ECM-Receptor",0,1,0.00728796840212161,TRUE,FALSE,"estimated_in_both_conditions","paired_patients_but_pooled_condition_specific_CellChat",8,0.836709264676965,0,0.802646279758712,0.0224942712224497,0.348682767854509,FALSE,"CellChat probabilities are pooled exploratory estimates; paired donor statistics refer to an LR expression score, not a CellChat probability test.","Exploratory","Stromal_1 → THBS2_CD47"
"Stromal_2","Epithelial","COL1A2_SDC4",0.060705243954693,0,"COL1A2","SDC4","COLLAGEN","ECM-Receptor",0.0120044220442928,0,0.0487008219104002,TRUE,TRUE,"estimated_in_both_conditions","paired_patients_but_pooled_condition_specific_CellChat",6,1.51735441193404,0.876532583064542,0.763515332326832,0.0360316862182336,0.348682767854509,FALSE,"CellChat probabilities are pooled exploratory estimates; paired donor statistics refer to an LR expression score, not a CellChat probability test.","Exploratory","Stromal_2 → COL1A2_SDC4"
"Stromal_2","Epithelial","MDK_NCL",0.0284584275629272,0,"MDK","NCL","MK","Secreted Signaling",0.00223316678225942,1,0.0262252607806677,TRUE,FALSE,"estimated_in_both_conditions","paired_patients_but_pooled_condition_specific_CellChat",6,1.1663328147783,0.456857717372232,0.759019282776193,0.0360316862182336,0.348682767854509,FALSE,"CellChat probabilities are pooled exploratory estimates; paired donor statistics refer to an LR expression score, not a CellChat probability test.","Exploratory","Stromal_2 → MDK_NCL"
"Stromal_3","Epithelial","COL1A1_CD44",0.063390595674576,0,"COL1A1","CD44","COLLAGEN","ECM-Receptor",0,1,0.063390595674576,TRUE,FALSE,"estimated_in_both_conditions","paired_patients_but_pooled_condition_specific_CellChat",6,1.34751921835151,0.690725766330299,0.730118799673928,0.0591720678258594,0.348682767854509,FALSE,"CellChat probabilities are pooled exploratory estimates; paired donor statistics refer to an LR expression score, not a CellChat probability test.","Exploratory","Stromal_3 → COL1A1_CD44"
"Stromal_1","Epithelial","COL6A3_CD44",0.0249542173245406,0,"COL6A3","CD44","COLLAGEN","ECM-Receptor",0,1,0.0249542173245406,TRUE,FALSE,"estimated_in_both_conditions","paired_patients_but_pooled_condition_specific_CellChat",8,1.08897452124298,0.383518713412417,0.705455807830564,0.042315274905714,0.348682767854509,FALSE,"CellChat probabilities are pooled exploratory estimates; paired donor statistics refer to an LR expression score, not a CellChat probability test.","Exploratory","Stromal_1 → COL6A3_CD44"
"Stromal_3","Epithelial","COL1A2_CD44",0.055865060764164,0,"COL1A2","CD44","COLLAGEN","ECM-Receptor",0,1,0.055865060764164,TRUE,FALSE,"estimated_in_both_conditions","paired_patients_but_pooled_condition_specific_CellChat",6,1.4102877433469,0.8311166232631,0.68847554716495,0.0934924836898357,0.426712711966683,FALSE,"CellChat probabilities are pooled exploratory estimates; paired donor statistics refer to an LR expression score, not a CellChat probability test.","Exploratory","Stromal_3 → COL1A2_CD44"
"Stromal_2","Epithelial","COL1A1_SDC4",0.0612359602546939,0,"COL1A1","SDC4","COLLAGEN","ECM-Receptor",0.0118030698288528,0,0.0494328904258411,TRUE,TRUE,"estimated_in_both_conditions","paired_patients_but_pooled_condition_specific_CellChat",6,1.4390065840611,0.879185546432694,0.675635214108985,0.0360316862182336,0.348682767854509,FALSE,"CellChat probabilities are pooled exploratory estimates; paired donor statistics refer to an LR expression score, not a CellChat probability test.","Exploratory","Stromal_2 → COL1A1_SDC4"
"Stromal_2","Epithelial","MDK_SDC4",0.0175561560173193,0,"MDK","SDC4","MK","Secreted Signaling",0.00104207672093514,0,0.0165140792963842,TRUE,TRUE,"estimated_in_both_conditions","paired_patients_but_pooled_condition_specific_CellChat",6,0.900976417596982,0.301636455600845,0.662403804026748,0.0360316862182336,0.348682767854509,FALSE,"CellChat probabilities are pooled exploratory estimates; paired donor statistics refer to an LR expression score, not a CellChat probability test.","Exploratory","Stromal_2 → MDK_SDC4"
"Stromal_3","Epithelial","MDK_NCL",0.0437693454087273,0,"MDK","NCL","MK","Secreted Signaling",0.00138292842292715,1,0.0423864169858001,TRUE,FALSE,"estimated_in_both_conditions","paired_patients_but_pooled_condition_specific_CellChat",6,1.06928640492666,0.397074194380852,0.626816341768776,0.0360316862182336,0.348682767854509,FALSE,"CellChat probabilities are pooled exploratory estimates; paired donor statistics refer to an LR expression score, not a CellChat probability test.","Exploratory","Stromal_3 → MDK_NCL"
"Stromal_1","Epithelial","COL6A2_CD44",0.034918876267316,0,"COL6A2","CD44","COLLAGEN","ECM-Receptor",0,1,0.034918876267316,TRUE,FALSE,"estimated_in_both_conditions","paired_patients_but_pooled_condition_specific_CellChat",8,1.19925195957599,0.692851051475695,0.613912155388817,0.042315274905714,0.348682767854509,FALSE,"CellChat probabilities are pooled exploratory estimates; paired donor statistics refer to an LR expression score, not a CellChat probability test.","Exploratory","Stromal_1 → COL6A2_CD44"
"Stromal_2","Epithelial","COL6A3_CD44",0.030480871128852,0,"COL6A3","CD44","COLLAGEN","ECM-Receptor",0,1,0.030480871128852,TRUE,FALSE,"estimated_in_both_conditions","paired_patients_but_pooled_condition_specific_CellChat",6,0.925756084608955,0.480629646472348,0.594254654732314,0.0360316862182336,0.348682767854509,FALSE,"CellChat probabilities are pooled exploratory estimates; paired donor statistics refer to an LR expression score, not a CellChat probability test.","Exploratory","Stromal_2 → COL6A3_CD44"
"Stromal_2","Epithelial","PLAU_PLAUR",0.0493258045711927,0,"PLAU","PLAUR","PLAU","Secreted Signaling",0.00627449901500506,0,0.0430513055561876,TRUE,TRUE,"estimated_in_both_conditions","paired_patients_but_pooled_condition_specific_CellChat",6,1.32225624990794,0.56247066383513,0.59091887249049,0.0360316862182336,0.348682767854509,FALSE,"CellChat probabilities are pooled exploratory estimates; paired donor statistics refer to an LR expression score, not a CellChat probability test.","Exploratory","Stromal_2 → PLAU_PLAUR"
