"axis","condition","probability","p_value","FDR","minus_log10_p"
"Stromal_1 → COL1A1_CD44","Normal",0,0.0142661867014469,0.348682767854509,1.84569209667048
"Stromal_1 → COL1A2_CD44","Normal",0,0.0142661867014469,0.348682767854509,1.84569209667048
"Stromal_2 → COL1A2_CD44","Normal",0,0.0360316862182336,0.348682767854509,1.44331541319971
"Stromal_2 → COL1A1_CD44","Normal",0,0.0360316862182336,0.348682767854509,1.44331541319971
"Stromal_1 → THBS2_CD47","Normal",0,0.0224942712224497,0.348682767854509,1.64792807270049
"Stromal_2 → COL1A2_SDC4","Normal",0.0120044220442928,0.0360316862182336,0.348682767854509,1.44331541319971
"Stromal_2 → MDK_NCL","Normal",0.00223316678225942,0.0360316862182336,0.348682767854509,1.44331541319971
"Stromal_3 → COL1A1_CD44","Normal",0,0.0591720678258594,0.348682767854509,1.22788325361181
"Stromal_1 → COL6A3_CD44","Normal",0,0.042315274905714,0.348682767854509,1.37350283333919
"Stromal_3 → COL1A2_CD44","Normal",0,0.0934924836898357,0.426712711966683,1.02922330274503
"Stromal_2 → COL1A1_SDC4","Normal",0.0118030698288528,0.0360316862182336,0.348682767854509,1.44331541319971
"Stromal_2 → MDK_SDC4","Normal",0.00104207672093514,0.0360316862182336,0.348682767854509,1.44331541319971
"Stromal_3 → MDK_NCL","Normal",0.00138292842292715,0.0360316862182336,0.348682767854509,1.44331541319971
"Stromal_1 → COL6A2_CD44","Normal",0,0.042315274905714,0.348682767854509,1.37350283333919
"Stromal_2 → COL6A3_CD44","Normal",0,0.0360316862182336,0.348682767854509,1.44331541319971
"Stromal_2 → PLAU_PLAUR","Normal",0.00627449901500506,0.0360316862182336,0.348682767854509,1.44331541319971
"Stromal_1 → THBS2_SDC4","Normal",0,0.0224942712224497,0.348682767854509,1.64792807270049
"Stromal_2 → COL6A1_CD44","Normal",0,0.0591720678258594,0.348682767854509,1.22788325361181
"Stromal_1 → THBS2_SDC1","Normal",0,0.0224942712224497,0.348682767854509,1.64792807270049
"Stromal_2 → COL6A3_SDC4","Normal",0.00579616609276335,0.0360316862182336,0.348682767854509,1.44331541319971
"Stromal_1 → COL1A1_CD44","Tumor",0.0545067368222614,0.0142661867014469,0.348682767854509,1.84569209667048
"Stromal_1 → COL1A2_CD44","Tumor",0.0505651592045501,0.0142661867014469,0.348682767854509,1.84569209667048
"Stromal_2 → COL1A2_CD44","Tumor",0.0506507110780669,0.0360316862182336,0.348682767854509,1.44331541319971
"Stromal_2 → COL1A1_CD44","Tumor",0.0510983074323739,0.0360316862182336,0.348682767854509,1.44331541319971
"Stromal_1 → THBS2_CD47","Tumor",0.00728796840212161,0.0224942712224497,0.348682767854509,1.64792807270049
"Stromal_2 → COL1A2_SDC4","Tumor",0.060705243954693,0.0360316862182336,0.348682767854509,1.44331541319971
"Stromal_2 → MDK_NCL","Tumor",0.0284584275629272,0.0360316862182336,0.348682767854509,1.44331541319971
"Stromal_3 → COL1A1_CD44","Tumor",0.063390595674576,0.0591720678258594,0.348682767854509,1.22788325361181
"Stromal_1 → COL6A3_CD44","Tumor",0.0249542173245406,0.042315274905714,0.348682767854509,1.37350283333919
"Stromal_3 → COL1A2_CD44","Tumor",0.055865060764164,0.0934924836898357,0.426712711966683,1.02922330274503
"Stromal_2 → COL1A1_SDC4","Tumor",0.0612359602546939,0.0360316862182336,0.348682767854509,1.44331541319971
"Stromal_2 → MDK_SDC4","Tumor",0.0175561560173193,0.0360316862182336,0.348682767854509,1.44331541319971
"Stromal_3 → MDK_NCL","Tumor",0.0437693454087273,0.0360316862182336,0.348682767854509,1.44331541319971
"Stromal_1 → COL6A2_CD44","Tumor",0.034918876267316,0.042315274905714,0.348682767854509,1.37350283333919
"Stromal_2 → COL6A3_CD44","Tumor",0.030480871128852,0.0360316862182336,0.348682767854509,1.44331541319971
"Stromal_2 → PLAU_PLAUR","Tumor",0.0493258045711927,0.0360316862182336,0.348682767854509,1.44331541319971
"Stromal_1 → THBS2_SDC4","Tumor",0.00805883174430712,0.0224942712224497,0.348682767854509,1.64792807270049
"Stromal_2 → COL6A1_CD44","Tumor",0.0353239307081644,0.0591720678258594,0.348682767854509,1.22788325361181
"Stromal_1 → THBS2_SDC1","Tumor",0.00348749799102844,0.0224942712224497,0.348682767854509,1.64792807270049
"Stromal_2 → COL6A3_SDC4","Tumor",0.0366862682502766,0.0360316862182336,0.348682767854509,1.44331541319971
