"time_col","event_col","n","events"
"sample","score_raw",90,9
"sample","characteristics_ch1.4",90,19
"sample","meta or recurrence within 3 years:ch1",89,18
"sample","parsed_meta_or_recurrence_within_3_years",89,18
"sample","score_z",85,26
"score_raw","score_raw",47,3
"score_raw","characteristics_ch1.4",47,13
"score_raw","meta or recurrence within 3 years:ch1",46,12
"score_raw","parsed_meta_or_recurrence_within_3_years",46,12
"score_raw","score_z",46,14
"title","score_raw",90,9
"title","characteristics_ch1.4",90,19
"title","meta or recurrence within 3 years:ch1",89,18
"title","parsed_meta_or_recurrence_within_3_years",89,18
"title","score_z",85,26
"geo_accession","score_raw",90,9
"geo_accession","characteristics_ch1.4",90,19
"geo_accession","meta or recurrence within 3 years:ch1",89,18
"geo_accession","parsed_meta_or_recurrence_within_3_years",89,18
"geo_accession","score_z",85,26
"status","score_raw",90,9
"status","characteristics_ch1.4",90,19
"status","meta or recurrence within 3 years:ch1",89,18
"status","parsed_meta_or_recurrence_within_3_years",89,18
"status","score_z",85,26
"submission_date","score_raw",90,9
"submission_date","characteristics_ch1.4",90,19
"submission_date","meta or recurrence within 3 years:ch1",89,18
"submission_date","parsed_meta_or_recurrence_within_3_years",89,18
"submission_date","score_z",85,26
"last_update_date","score_raw",90,9
"last_update_date","characteristics_ch1.4",90,19
"last_update_date","meta or recurrence within 3 years:ch1",89,18
"last_update_date","parsed_meta_or_recurrence_within_3_years",89,18
"last_update_date","score_z",85,26
"channel_count","score_raw",90,9
"channel_count","characteristics_ch1.4",90,19
"channel_count","meta or recurrence within 3 years:ch1",89,18
"channel_count","parsed_meta_or_recurrence_within_3_years",89,18
"channel_count","score_z",85,26
"characteristics_ch1.2","score_raw",90,9
"characteristics_ch1.2","characteristics_ch1.4",90,19
"characteristics_ch1.2","meta or recurrence within 3 years:ch1",89,18
"characteristics_ch1.2","parsed_meta_or_recurrence_within_3_years",89,18
"characteristics_ch1.2","score_z",85,26
"characteristics_ch1.4","score_raw",90,9
"characteristics_ch1.4","characteristics_ch1.4",90,19
"characteristics_ch1.4","meta or recurrence within 3 years:ch1",89,18
"characteristics_ch1.4","parsed_meta_or_recurrence_within_3_years",89,18
"characteristics_ch1.4","score_z",85,26
"characteristics_ch1.5","score_raw",90,9
"characteristics_ch1.5","characteristics_ch1.4",90,19
"characteristics_ch1.5","meta or recurrence within 3 years:ch1",89,18
"characteristics_ch1.5","parsed_meta_or_recurrence_within_3_years",89,18
"characteristics_ch1.5","score_z",85,26
"label_protocol_ch1","score_raw",90,9
"label_protocol_ch1","characteristics_ch1.4",90,19
